site_no,Date,Mean Water Temp (C),Mean Specific Conductance,Turbidity (FNU),pH
1095220,4/4/2023,8.9,126.0,,6.6857801390806975
1095220,4/5/2023,9.9,129.0,,6.769523054699936
1095220,4/6/2023,9.0,135.0,,6.866113459799903
1095220,4/7/2023,10.2,138.0,,6.852602876543826
1095220,4/8/2023,8.7,143.0,,6.674976241206158
1095220,4/9/2023,8.3,146.0,,7.229640435431648
1095220,4/10/2023,8.9,147.0,,7.433214389840145
1095220,4/11/2023,10.4,149.0,,6.82466691317469
1095220,4/12/2023,12.4,151.0,,7.308405920816515
1095220,4/13/2023,14.1,152.0,,7.499642924636138
1095220,4/14/2023,16.4,159.0,,7.428879066159822
1095220,4/15/2023,16.8,162.0,,6.718991790071602
1095220,4/16/2023,16.0,162.0,,6.532415828971981
1095220,4/17/2023,14.3,162.0,,7.481780563640887
1095220,4/18/2023,12.7,162.0,,7.007643955907134
1095220,4/19/2023,11.0,166.0,,6.785382456439729
1095220,4/20/2023,11.0,169.0,,7.231601965480929
1095220,4/21/2023,12.2,174.0,,6.519455567305741
1095220,4/22/2023,12.2,177.0,,6.517173836431886
1095220,4/23/2023,10.7,160.0,,7.462499541588384
1095220,4/24/2023,10.7,122.0,,6.9862650481441815
1095220,4/25/2023,11.3,125.0,,7.318133402336997
1095220,4/26/2023,12.0,132.0,,6.783021689398143
1095220,4/27/2023,12.3,138.0,,7.31589926155748
1095220,4/28/2023,12.4,143.0,,7.417425748284696
1095220,4/29/2023,12.1,147.0,,7.000311866820756
1095220,4/30/2023,11.0,143.0,,7.0481344541392
1095220,5/1/2023,11.6,104.0,,6.665473309464143
1095220,5/2/2023,11.4,100.0,,6.746276962248131
1095220,5/3/2023,10.9,105.0,,6.590023525568149
1095220,5/4/2023,10.5,112.0,,7.027938691421213
1095220,5/5/2023,10.7,117.0,,6.841116296504832
1095220,5/6/2023,12.3,122.0,,7.084889332968436
1095220,5/7/2023,14.6,129.0,,7.280780057207699
1095220,5/8/2023,16.4,133.0,,7.228626375175697
1095220,5/9/2023,15.5,138.0,,6.814795693848352
1095220,5/10/2023,14.7,142.0,,6.7697092906132
1095220,5/11/2023,15.1,148.0,,6.791307589390002
1095220,5/12/2023,16.0,153.0,,7.102354201489941
1095220,5/13/2023,17.4,154.0,,6.541923268170709
1095220,5/14/2023,16.6,163.0,,6.550771378663056
1095220,5/15/2023,15.4,167.0,,6.825917270322698
1095220,5/16/2023,15.4,170.0,,6.543323257170378
1095220,5/17/2023,14.8,174.0,,6.985201389010012
1095220,5/18/2023,13.8,180.0,,6.968495433999974
1095220,5/19/2023,14.2,181.0,,6.839224857306926
1095220,5/20/2023,13.9,183.0,,7.062315217084589
1095220,5/21/2023,15.2,128.0,,6.841396840056888
1095220,5/22/2023,16.2,120.0,,6.623736982160209
1095220,5/23/2023,16.3,127.0,,6.827425076157688
1095220,5/24/2023,16.2,134.0,,6.822587533072526
1095220,5/25/2023,16.1,137.0,,6.792880996368855
1095220,5/26/2023,15.6,142.0,,7.366186949655263
1095220,5/27/2023,16.1,148.0,,7.030211014917356
1095220,5/28/2023,17.7,149.0,,7.132999289943494
1095220,5/29/2023,18.3,167.0,,7.345143886638063
1095220,5/30/2023,17.3,178.0,,6.8270622981525095
1095220,5/31/2023,17.6,187.0,,6.693328511944087
1095220,6/1/2023,18.9,193.0,,6.981675464498641
1095220,6/2/2023,19.8,203.0,,7.099880265233728
1095220,6/3/2023,17.3,202.0,,7.163801648181261
1095220,6/4/2023,15.1,190.0,,7.295886698700791
1095220,6/5/2023,14.9,188.0,,6.8379050312244445
1095220,6/6/2023,15.3,187.0,,6.559315760752099
1095220,6/7/2023,15.1,186.0,,7.056710011738986
1095220,6/8/2023,14.7,181.0,,7.215389306366949
1095220,6/9/2023,14.5,182.0,,7.256905556670921
1095220,6/10/2023,14.9,176.0,,6.9627727118054
1095220,6/11/2023,16.2,173.0,,6.758957949238812
1095220,6/12/2023,17.9,175.0,,6.681239709949566
1095220,6/13/2023,19.2,179.0,,6.958677343841303
1095220,6/14/2023,19.2,173.0,,6.696287224836125
1095220,6/15/2023,18.2,144.0,,7.358727388945049
1095220,6/16/2023,18.9,142.0,,6.766315434670693
1095220,6/17/2023,18.3,145.0,,7.4398037427442825
1095220,6/18/2023,17.3,123.0,,6.980244765207947
1095220,6/19/2023,17.5,126.0,,6.800333699381455
1095220,6/20/2023,17.6,135.0,,6.856942417668216
1095220,6/21/2023,17.9,141.0,,7.361566990992231
1095220,6/22/2023,18.3,130.0,,6.68027273942019
1095220,6/23/2023,19.3,135.0,,7.45442667968976
1095220,6/24/2023,19.9,149.0,,6.688642121820406
1095220,6/25/2023,20.8,134.0,,6.735860714784308
1095220,6/26/2023,21.5,146.0,,7.320259964840735
1095220,6/27/2023,21.0,125.0,,7.420881970346018
1095220,6/28/2023,20.5,109.0,,6.657219081286643
1095220,6/29/2023,20.1,96.0,,7.292774487165132
1095220,6/30/2023,20.7,102.0,,7.315196216256854
1095220,7/1/2023,21.4,113.0,,6.6934028999063315
1095220,7/2/2023,20.3,115.0,,6.57248420990415
1095220,7/3/2023,18.7,78.0,,6.679614841165069
1095220,7/4/2023,19.5,81.0,,7.236173446718725
1095220,7/5/2023,20.2,71.0,,7.11602115899352
1095220,7/6/2023,21.9,79.0,,7.451669967126186
1095220,7/7/2023,22.9,91.0,,6.7077470254086755
1095220,7/8/2023,23.3,102.0,,6.811098039141561
1095220,7/9/2023,23.2,111.0,,6.890005212092639
1095220,7/10/2023,21.7,113.0,,6.890181562119392
1095220,7/11/2023,20.6,83.0,,7.122077635218216
1095220,7/12/2023,21.8,89.0,,6.75373289995988
1095220,7/13/2023,22.2,101.0,,7.3479080064823385
1095220,7/14/2023,21.6,103.0,,7.054409237972461
1095220,7/15/2023,21.6,97.0,,6.684097591583763
1095220,7/16/2023,21.6,92.0,,7.108884519875885
1095220,7/17/2023,21.7,63.0,,7.159500702873419
1095220,7/18/2023,22.3,78.0,,7.331995028473704
1095220,7/19/2023,21.8,83.0,,7.317468921569154
1095220,7/20/2023,21.3,89.0,,7.236783292866039
1095220,7/21/2023,20.5,101.0,,6.766223545146223
1095220,7/22/2023,20.0,74.0,,6.759878660880284
1095220,7/23/2023,20.4,78.0,,6.920112881026396
1095220,7/24/2023,20.7,91.0,,7.310960962599806
1095220,7/25/2023,21.0,103.0,,7.31796052116666
1095220,7/26/2023,21.4,110.0,,7.386177005036381
1095220,7/27/2023,21.8,117.0,,7.106367434054997
1095220,7/28/2023,22.5,111.0,,7.218587439857705
1095220,7/29/2023,22.8,122.0,,7.354408773037458
1095220,7/30/2023,21.3,102.0,,6.590020973714142
1095220,7/31/2023,20.0,102.0,,7.069268882115466
1095220,8/1/2023,19.8,111.0,,7.36791158383411
1095220,8/2/2023,18.8,122.0,,7.2914464337299
1095220,8/3/2023,18.5,130.0,,7.256757236737771
1095220,8/4/2023,18.9,137.0,,7.264069642603792
1095220,8/5/2023,19.6,143.0,,6.968434221707774
1095220,8/6/2023,19.8,149.0,,6.727751607659966
1095220,8/7/2023,19.2,156.0,,6.817150836935938
1095220,8/8/2023,19.7,154.0,,6.636264842733914
1095220,8/9/2023,20.6,147.0,,7.458185063889346
1095220,8/10/2023,20.4,154.0,,7.429261355338859
1095220,8/11/2023,20.3,137.0,,7.434693270724106
1095220,8/12/2023,20.2,138.0,,6.801815485764591
1095220,8/13/2023,20.8,149.0,,7.0737039602077285
1095220,8/14/2023,21.3,154.0,,6.997424000454033
1095220,8/15/2023,20.6,150.0,,6.757573593795344
1095220,8/16/2023,19.6,126.0,,6.827634167207555
