# Data for the following 22 site(s) are contained in this file,,,,,,,,,,,,,,,,,,,,
"#    USGS 01095220 STILLWATER RIVER NEAR STERLING, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01095375 QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01095434 GATES BROOK NEAR WEST BOYLSTON, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01100568 SHAWSHEEN RIVER AT HANSCOM FIELD NEAR BEDFORD, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01104370 STONY BROOK AT VILES STREET, NEAR WESTON, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01104405 HOBBS BROOK AT MILL ST NR LINCOLN, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01104410 CAMBRIDGE RES., UNNAMED TRIB 1, NR LEXINGTON, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01104415 CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01104420 CAMBRIDGE RES., UNNAMED TRIB 3, NR LEXINGTON, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01104430 HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",,,,,,,,,,,,,,,,,,,,
#    USGS 01104453 STONY BROOK UNNAMED TRIB 2 NR WESTON STATION,,,,,,,,,,,,,,,,,,,,
"#    USGS 01104455 STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01104460 STONY BROOK AT RT 20 AT WALTHAM, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01104475 STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01104480 STONY BROOK RESERVOIR AT DAM NEAR WALTHAM, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01111230 BLACKSTONE RIVER AT MILLVILLE, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01168250 COLD RIVER AT FLORIDA, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01170100 GREEN RIVER NEAR COLRAIN, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 01173000 WARE RIVER AT INTAKE WORKS NEAR BARRE, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 415716070031801 BOUND BROOK, DNSTRM BOUND BK RD NR WELLFLEET, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 422302071083801 FRESH POND IN GATE HOUSE AT CAMBRIDGE, MA",,,,,,,,,,,,,,,,,,,,
"#    USGS 424752070491701 PLUM ISLAND R @ TPK BRIDGE AT PLUM ISLAND, MA",,,,,,,,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
# Data provided for site 01095220,,,,,,,,,,,,,,,,,,,,
#            TS   parameter     statistic     Description,,,,,,,,,,,,,,,,,,,,
"#         64064       00010     00001     Temperature, water, degrees Celsius (Maximum)",,,,,,,,,,,,,,,,,,,,
"#         64065       00010     00002     Temperature, water, degrees Celsius (Minimum)",,,,,,,,,,,,,,,,,,,,
"#         64066       00010     00003     Temperature, water, degrees Celsius (Mean)",,,,,,,,,,,,,,,,,,,,
"#         64067       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)",,,,,,,,,,,,,,,,,,,,
"#         64068       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)",,,,,,,,,,,,,,,,,,,,
"#         64069       00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)",,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,,,,,,,,,,,,,,
#     P  Provisional data subject to revision.,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,
agency_cd,site_no,datetime,64064_00010_00001,64064_00010_00001_cd,64065_00010_00002,64065_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,64067_00095_00001,64067_00095_00001_cd,64068_00095_00002,64068_00095_00002_cd,Mean Specific Conductance ,Mean Specific Conductance _cd,,,,,,

USGS,1095220,4/4/2023,10.4,P,7.8,P,8.9,P,128,P,124,P,126,P,,,,,,
USGS,1095220,4/5/2023,10.8,P,8.7,P,9.9,P,133,P,126,P,129,P,,,,,,
USGS,1095220,4/6/2023,9.9,P,8,P,9,P,138,P,133,P,135,P,,,,,,
USGS,1095220,4/7/2023,11,P,9,P,10.2,P,142,P,137,P,138,P,,,,,,
USGS,1095220,4/8/2023,9.8,P,7.5,P,8.7,P,144,P,142,P,143,P,,,,,,
USGS,1095220,4/9/2023,10,P,7,P,8.3,P,147,P,144,P,146,P,,,,,,
USGS,1095220,4/10/2023,10.9,P,7.2,P,8.9,P,148,P,147,P,147,P,,,,,,
USGS,1095220,4/11/2023,12.3,P,8.7,P,10.4,P,151,P,148,P,149,P,,,,,,
USGS,1095220,4/12/2023,14,P,10.7,P,12.4,P,153,P,149,P,151,P,,,,,,
USGS,1095220,4/13/2023,16.1,P,12,P,14.1,P,157,P,149,P,152,P,,,,,,
USGS,1095220,4/14/2023,18.6,P,14.5,P,16.4,P,161,P,157,P,159,P,,,,,,
USGS,1095220,4/15/2023,18.5,P,15.5,P,16.8,P,163,P,161,P,162,P,,,,,,
USGS,1095220,4/16/2023,16.5,P,15.2,P,16,P,164,P,161,P,162,P,,,,,,
USGS,1095220,4/17/2023,15.2,P,13.4,P,14.3,P,163,P,161,P,162,P,,,,,,
USGS,1095220,4/18/2023,13.4,P,11.8,P,12.7,P,165,P,161,P,162,P,,,,,,
USGS,1095220,4/19/2023,11.8,P,9.9,P,11,P,168,P,164,P,166,P,,,,,,
USGS,1095220,4/20/2023,13.1,P,9.2,P,11,P,172,P,168,P,169,P,,,,,,
USGS,1095220,4/21/2023,14.5,P,10.3,P,12.2,P,176,P,171,P,174,P,,,,,,
USGS,1095220,4/22/2023,13.1,P,11.6,P,12.2,P,190,P,175,P,177,P,,,,,,
USGS,1095220,4/23/2023,11.8,P,9.8,P,10.7,P,190,P,131,P,160,P,,,,,,
USGS,1095220,4/24/2023,12.5,P,9.3,P,10.7,P,131,P,119,P,122,P,,,,,,
USGS,1095220,4/25/2023,12.4,P,10.8,P,11.3,P,130,P,119,P,125,P,,,,,,
USGS,1095220,4/26/2023,13.2,P,11.4,P,12,P,137,P,130,P,132,P,,,,,,
USGS,1095220,4/27/2023,13.3,P,11.5,P,12.3,P,142,P,136,P,138,P,,,,,,
USGS,1095220,4/28/2023,14.3,P,10.9,P,12.4,P,146,P,142,P,143,P,,,,,,
USGS,1095220,4/29/2023,12.7,P,11.4,P,12.1,P,153,P,145,P,147,P,,,,,,
USGS,1095220,4/30/2023,11.4,P,10.5,P,11,P,155,P,131,P,143,P,,,,,,
USGS,1095220,5/1/2023,12.9,P,10.4,P,11.6,P,131,P,96,P,104,P,,,,,,
USGS,1095220,5/2/2023,12.3,P,10.9,P,11.4,P,103,P,97,P,100,P,,,,,,
USGS,1095220,5/3/2023,11.4,P,10.4,P,10.9,P,110,P,101,P,105,P,,,,,,
USGS,1095220,5/4/2023,11,P,10.2,P,10.5,P,115,P,110,P,112,P,,,,,,
USGS,1095220,5/5/2023,11.4,P,10,P,10.7,P,119,P,115,P,117,P,,,,,,
USGS,1095220,5/6/2023,13.6,P,11,P,12.3,P,126,P,119,P,122,P,,,,,,
USGS,1095220,5/7/2023,15.8,P,13.4,P,14.6,P,133,P,126,P,129,P,,,,,,
USGS,1095220,5/8/2023,17.8,P,15.6,P,16.4,P,135,P,132,P,133,P,,,,,,
USGS,1095220,5/9/2023,16.8,P,14.1,P,15.5,P,140,P,135,P,138,P,,,,,,
USGS,1095220,5/10/2023,16.5,P,13.1,P,14.7,P,144,P,139,P,142,P,,,,,,
USGS,1095220,5/11/2023,16.9,P,13.4,P,15.1,P,151,P,144,P,148,P,,,,,,
USGS,1095220,5/12/2023,17.8,P,14,P,16,P,155,P,150,P,153,P,,,,,,
USGS,1095220,5/13/2023,19.2,P,15.8,P,17.4,P,161,P,150,P,154,P,,,,,,
USGS,1095220,5/14/2023,18.2,P,15.4,P,16.6,P,166,P,160,P,163,P,,,,,,
USGS,1095220,5/15/2023,17,P,13.8,P,15.4,P,168,P,166,P,167,P,,,,,,
USGS,1095220,5/16/2023,17,P,14,P,15.4,P,172,P,168,P,170,P,,,,,,
