Title,Latitude,Longitude,Date,Elevation
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589,04/19/2023,10.43025493621826
"""Rose Kennedy Greenway Development""",42.3559,-71.055,04/01/2023,4.551870822906494
"""GE Boston Headquarters""",42.3486,-71.0861,08/23/2023,4.218243598937988
"""Boston Landing Train Station""",42.3528,-71.1401,07/28/2023,17.05276679992676
"""Government Center Station Renovation""",42.3597,-71.0603,07/16/2023,16.78004837036133
"""Government Center Garage Redevelopment""",42.3617,-71.0605,08/12/2023,8.01740550994873
"""Boston Public Market""",42.3607,-71.0571,07/01/2023,3.81519341468811
"""The Revolution Hotel""",42.3442,-71.0986,08/22/2023,3.345298290252686
"""Converse Headquarters Relocation""",42.3484,-71.083,06/27/2023,4.508124828338623
"""UMass Boston Residence Hall""",42.3136,-71.0388,08/11/2023,5.195847511291504
"""Boston Landing Commuter Rail Station""",42.3528,-71.1401,07/27/2023,17.05276679992676
"""Parcel 1B (Bulfinch Crossing) Development""",42.3613,-71.0599,08/08/2023,9.699273109436035
"""Seaport District Redevelopment""",42.3525,-71.043,08/12/2023,2.641671895980835
"""Fenway Park Renovations""",42.3468,-71.0961,10/02/2023,4.40595817565918
"""South Station Tower Development""",42.351,-71.0551,09/02/2023,4.090198993682861
"""Boston Children's Hospital Expansion""",42.3372,-71.1097,1/5/2023,6.85105562210083
"""Fenway Center Development""",42.3453,-71.0956,10/18/2023,3.5058434009552
"""The Green Line Extension Project (GLX)""",42.399,-71.1246,10/18/2023,8.738870620727539
"""Harvard Science and Engineering Complex""",42.3594,-71.0934,09/07/2023,2.636923789978027
"""South Bay Center Redevelopment""",42.3251,-71.0667,10/18/2023,5.488791942596436
"""Kenmore Square Redevelopment""",42.3482,-71.0973,10/18/2023,5.969231128692627
"""Winthrop Square Tower""",42.3564,-71.0582,10/18/2023,7.812236309051514
"""Seaport Square Development""",42.3491,-71.0419,10/18/2023,8.996127128601074
"""Boston Logan Airport Terminal E Expansion""",42.3651,-71.0211,10/18/2023,3.465201854705811
"""Massachusetts Turnpike Allston/I-90 Interchange Project""",42.355,-71.1319,10/18/2023,10.81698322296143
"""Boston Children's Hospital Clinical Building""",42.3372,-71.1097,10/10/2023,6.85105562210083
"""Boston Seaport Microgrid""",42.349,-71.0377,10/10/2023,0.0
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107,07/23/2023,8.99447250366211
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342,10/11/2023,6.011198043823242
"""The Beacon at Garvett Street Development""",42.3596,-71.0619,10/11/2023,20.4704704284668
"""South Station Tower and Transportation Center""",42.351,-71.0551,10/11/2023,4.090198993682861
"""Boston Landing Sports Complex""",42.3529,-71.1402,08/08/2023,17.24103164672852
"""Dudley Square Redevelopment""",42.3302,-71.0843,10/08/2023,7.131121635437012
"""Hub50House (Bulfinch Crossing)""",42.3611,-71.0593,10/08/2023,10.07450294494629
"""Boston University Joan & Edgar Booth Theatre""",42.3498,-71.1015,07/30/2023,3.270415782928467
"""Boston University Joan & Edgar Booth Theatre II""",42.3498,-71.1015,10/08/2023,3.270415782928467
"""Boston City Hall Plaza Renovations""",42.3603,-71.0589,10/08/2023,10.23391532897949
"""Charles River Esplanade Restoration""",42.3617,-71.0763,09/27/2023,-0.4832296371459961
"""Suffolk Downs Redevelopment""",42.4001,-70.9954,09/27/2023,2.129606008529663
"""Boston University Fenway Center""",42.3464,-71.0959,09/27/2023,4.25862455368042
"""Exchange South End Development""",42.3375,-71.0734,08/21/2023,2.729080677032471
"""Winthrop Square Garage Redevelopment""",42.3555,-71.0587,08/21/2023,7.322624206542969
"""The Verb Hotel""",42.3442,-71.0986,06/19/2023,3.345298290252686
"""Encore Boston Harbor Harborwalk""",42.3704,-71.0458,08/21/2023,0.0
"""Boston University Student Services Center""",42.3493,-71.1025,07/11/2023,4.437674045562744
"""Boston Marathon""",42.3601,-71.0589,09/28/2023,10.43025493621826
"""Boston Pops Fireworks Spectacular""",42.3521,-71.0725,10/01/2023,2.788150072097778
"""St. Patrick's Day Parade""",42.3601,-71.0589,10/10/2023,10.43025493621826
"""Boston Calling Music Festival""",42.3662,-71.0621,09/29/2023,3.020291566848755
"""First Night Boston""",42.3541,-71.0622,10/07/2023,8.214835166931152
"""Head of the Charles Regatta""",42.3594,-71.0861,10/05/2023,2.857174634933472
"""Boston Wine Festival""",42.3541,-71.0705,09/25/2023,2.64413857460022
"""Boston Film Festival""",42.3601,-71.0589,10/04/2023,10.43025493621826
"""Boston Comedy Festival""",42.3541,-71.0622,10/05/2023,8.214835166931152
"""Salem Halloween Festival""",42.52,-70.9003,10/04/2023,6.961402416229248
"""Boston Tea Party Reenactment""",42.3514,-71.0498,10/07/2023,2.192478179931641
"""Dine Out Boston (Restaurant Week)""",42.3601,-71.0589,09/26/2023,10.43025493621826
"""Boston Flower & Garden Show""",42.3473,-71.0825,09/27/2023,8.01114559173584
"""Boston Harborfest""",42.3601,-71.0589,10/01/2023,10.43025493621826
"""Boston Seafood Festival""",42.3615,-71.0483,10/02/2023,0.0
"""Boston Comedy Arts Festival""",42.3601,-71.0589,10/03/2023,10.43025493621826
"""Boston Arts Festival""",42.3537,-71.0464,10/03/2023,3.161378860473633
"""Boston Asian American Film Festival""",42.3601,-71.0589,10/05/2023,10.43025493621826
"""Boston Jewish Film Festival""",42.3601,-71.0589,10/05/2023,10.43025493621826
"""Boston Ballet's The Nutcracker""",42.3519,-71.1191,10/06/2023,12.99815845489502
"""Boston First Night""",42.3601,-71.0589,10/21/2023,10.43025493621826
"""Boston Marathon""",42.3601,-71.0589,09/28/2023,10.43025493621826
"""Boston Pops Fireworks Spectacular""",42.3521,-71.0725,10/01/2023,2.788150072097778
"""St. Patrick's Day Parade""",42.3601,-71.0589,10/10/2023,10.43025493621826
"""Boston Calling Music Festival""",42.3662,-71.0621,09/29/2023,3.020291566848755
"""First Night Boston""",42.3541,-71.0622,10/07/2023,8.214835166931152
"""Head of the Charles Regatta""",42.3594,-71.0861,10/05/2023,2.857174634933472
"""Boston Wine Festival""",42.3541,-71.0705,09/25/2023,2.64413857460022
"""Boston Film Festival""",42.3601,-71.0589,10/04/2023,10.43025493621826
"""Boston Comedy Festival""",42.3541,-71.0622,10/05/2023,8.214835166931152
"""Salem Halloween Festival""",42.52,-70.9003,10/04/2023,6.961402416229248
"""Boston Tea Party Reenactment""",42.3514,-71.0498,10/07/2023,2.192478179931641
"""Dine Out Boston (Restaurant Week)""",42.3601,-71.0589,09/26/2023,10.43025493621826
"""Boston Flower & Garden Show""",42.3473,-71.0825,09/27/2023,8.01114559173584
"""Boston Harborfest""",42.3601,-71.0589,10/01/2023,10.43025493621826
"""Boston Seafood Festival""",42.3615,-71.0483,10/02/2023,0.0
"""Boston Comedy Arts Festival""",42.3601,-71.0589,10/03/2023,10.43025493621826
"""Boston Arts Festival""",42.3537,-71.0464,10/03/2023,3.161378860473633
"""Boston Asian American Film Festival""",42.3601,-71.0589,10/05/2023,10.43025493621826
"""Boston Jewish Film Festival""",42.3601,-71.0589,10/05/2023,10.43025493621826
"""Boston Ballet's The Nutcracker""",42.3519,-71.1191,10/06/2023,12.99815845489502
"""Boston First Night""",42.3601,-71.0589,10/21/2023,10.43025493621826
"""Birthday Block Party""",42.3724,-71.0567,10/5/2023,0.0
"""Boston Book Festival""",42.3496,-71.0776,10/5/2023,3.17817759513855
"""Boston Irish Beerfest""",42.2178,-71.137,10/5/2023,12.01217269897461
"""CIDERFEST 2023""",42.3447,-71.099,10/5/2023,3.630979776382446
"""Roslindale Open Studios 2023""",42.279,-71.1207,10/5/2023,22.25982666015625
"""View Boston Grand Opening""",42.3705,-71.0794,10/5/2023,7.896556377410889
"""Blue Man Group""",42.3518,-71.065,5/10/2023,5.838814258575439
"""The Addams Family""",42.3422,-71.1098,5/10/2023,7.332479000091553
"""Andris Nelsons & Paul Lewis at the Boston Symphony Orchestra""",42.3416,-71.0865,5/10/2023,3.683906316757202
