Title,Latitude,Longitude,Date (MM/DD/YY)
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589, 01/10/10
"""Rose Kennedy Greenway Development""",42.3559,-71.055, Ongoing since 08/08/08
"""GE Boston Headquarters""",42.3486,-71.0861, 07/19/19
"""Boston Landing Train Station""",42.3528,-71.1401, 07/25/17
"""Government Center Station Renovation""",42.3597,-71.0603, 08/27/16
"""Government Center Garage Redevelopment""",42.3617,-71.0605, 10/05/18
"""Boston Public Market""",42.3607,-71.0571, 07/17/15
"""The Revolution Hotel""",42.3442,-71.0986, 06/27/19
"""Converse Headquarters Relocation""",42.3484,-71.083, 04/01/15
"""UMass Boston Residence Hall""",42.3136,-71.0388, 08/28/18
"""Boston Landing Commuter Rail Station""",42.3528,-71.1401, 07/12/17
"""Parcel 1B (Bulfinch Crossing) Development""",42.3613,-71.0599, 05/23/18
"""Seaport District Redevelopment""",42.3525,-71.043, Ongoing
"""Fenway Park Renovations""",42.3468,-71.0961, Ongoing
"""South Station Tower Development""",42.351,-71.0551, Ongoing
"""Hub on Causeway Development (TD Garden Expansion)""",42.3663,-71.0622, Ongoing since 2016
"""Boston Children's Hospital Expansion""",42.3372,-71.1097, Ongoing
"""Fenway Center Development""",42.3453,-71.0956, Ongoing
"""The Green Line Extension Project (GLX)""",42.399,-71.1246, Ongoing
"""Harvard Science and Engineering Complex""",42.3594,-71.0934, 09/15/20
"""South Bay Center Redevelopment""",42.3251,-71.0667, Ongoing
"""Kenmore Square Redevelopment""",42.3482,-71.0973, Ongoing
"""Winthrop Square Tower""",42.3564,-71.0582, Ongoing
"""Seaport Square Development""",42.3491,-71.0419, Ongoing
"""Boston Logan Airport Terminal E Expansion""",42.3651,-71.0211, Ongoing
"""Massachusetts Turnpike Allston/I-90 Interchange Project""",42.355,-71.1319, Ongoing
"""Boston Children's Hospital Clinical Building""",42.3372,-71.1097, Ongoing
"""Boston Seaport Microgrid""",42.349,-71.0377, Ongoing
"""Boston University Center for Integrated Life Sciences and Engineering""",42.3494,-71.1107, 03/23/17
"""Harvard Allston Science and Engineering Complex""",42.3577,-71.1342, Ongoing
"""The Beacon at Garvett Street Development""",42.3596,-71.0619, Ongoing
"""South Station Tower and Transportation Center""",42.351,-71.0551, Ongoing
"""Boston Landing Sports Complex""",42.3529,-71.1402, 06/08/18
"""Dudley Square Redevelopment""",42.3302,-71.0843, Ongoing
"""Hub50House (Bulfinch Crossing)""",42.3611,-71.0593, Ongoing
"""Boston University Joan & Edgar Booth Theatre""",42.3498,-71.1015, 09/30/17
"""Boston University Joan & Edgar Booth Theatre II""",42.3498,-71.1015, Ongoing
"""Boston City Hall Plaza Renovations""",42.3603,-71.0589, Ongoing
"""Charles River Esplanade Restoration""",42.3617,-71.0763, Ongoing
"""Suffolk Downs Redevelopment""",42.4001,-70.9954, Ongoing
"""Boston University Fenway Center""",42.3464,-71.0959, Ongoing
"""Exchange South End Development""",42.3375,-71.0734, Ongoing
"""Winthrop Square Garage Redevelopment""",42.3555,-71.0587, Ongoing
"""The Verb Hotel""",42.3442,-71.0986, 08/27/14
"""Encore Boston Harbor Harborwalk""",42.3704,-71.0458, Ongoing
"""Boston University Student Services Center""",42.3493,-71.1025, 04/20/16
"""Boston Marathon""",42.3601,-71.0589, 04/18/22
"""Boston Pops Fireworks Spectacular""",42.3521,-71.0725, 07/04/22
"""St. Patrick's Day Parade""",42.3601,-71.0589, 03/19/23
"""Boston Calling Music Festival""",42.3662,-71.0621, 05/27/22 - 05/29/22
"""First Night Boston""",42.3541,-71.0622, 12/31/22
"""Head of the Charles Regatta""",42.3594,-71.0861, 10/22/22 - 10/23/22
"""Boston Wine Festival""",42.3541,-71.0705, 01/14/22 - 03/25/22
"""Boston Film Festival""",42.3601,-71.0589, 09/21/22 - 09/25/22
"""Boston Comedy Festival""",42.3541,-71.0622, 11/08/22 - 11/13/22
"""Salem Halloween Festival""",42.52,-70.9003, 10/01/22 - 10/31/22
"""Boston Tea Party Reenactment""",42.3514,-71.0498, 12/16/22
"""Dine Out Boston (Restaurant Week)""",42.3601,-71.0589, 03/06/22 - 03/18/22
"""Boston Flower & Garden Show""",42.3473,-71.0825, 03/16/22 - 03/20/22
"""Boston Harborfest""",42.3601,-71.0589, 06/29/22 - 07/04/22
"""Boston Seafood Festival""",42.3615,-71.0483, 08/07/22
"""Boston Comedy Arts Festival""",42.3601,-71.0589, 09/07/22 - 09/11/22
"""Boston Arts Festival""",42.3537,-71.0464, 09/09/22 - 09/11/22
"""Boston Asian American Film Festival""",42.3601,-71.0589, 10/20/22 - 10/23/22
"""Boston Jewish Film Festival""",42.3601,-71.0589, 11/09/22 - 11/21/22
"""Boston Ballet's The Nutcracker""",42.3519,-71.1191, 11/25/22 - 12/31/22
"""Boston First Night""",42.3601,-71.0589, 12/31/23
"""Boston Marathon""",42.3601,-71.0589, 04/18/22
"""Boston Pops Fireworks Spectacular""",42.3521,-71.0725, 07/04/22
"""St. Patrick's Day Parade""",42.3601,-71.0589, 03/19/23
"""Boston Calling Music Festival""",42.3662,-71.0621, 05/27/22 - 05/29/22
"""First Night Boston""",42.3541,-71.0622, 12/31/22
"""Head of the Charles Regatta""",42.3594,-71.0861, 10/22/22 - 10/23/22
"""Boston Wine Festival""",42.3541,-71.0705, 01/14/22 - 03/25/22
"""Boston Film Festival""",42.3601,-71.0589, 09/21/22 - 09/25/22
"""Boston Comedy Festival""",42.3541,-71.0622, 11/08/22 - 11/13/22
"""Salem Halloween Festival""",42.52,-70.9003, 10/01/22 - 10/31/22
"""Boston Tea Party Reenactment""",42.3514,-71.0498, 12/16/22
"""Dine Out Boston (Restaurant Week)""",42.3601,-71.0589, 03/06/22 - 03/18/22
"""Boston Flower & Garden Show""",42.3473,-71.0825, 03/16/22 - 03/20/22
"""Boston Harborfest""",42.3601,-71.0589, 06/29/22 - 07/04/22
"""Boston Seafood Festival""",42.3615,-71.0483, 08/07/22
"""Boston Comedy Arts Festival""",42.3601,-71.0589, 09/07/22 - 09/11/22
"""Boston Arts Festival""",42.3537,-71.0464, 09/09/22 - 09/11/22
"""Boston Asian American Film Festival""",42.3601,-71.0589, 10/20/22 - 10/23/22
"""Boston Jewish Film Festival""",42.3601,-71.0589, 11/09/22 - 11/21/22
"""Boston Ballet's The Nutcracker""",42.3519,-71.1191, 11/25/22 - 12/31/22
"""Boston First Night""",42.3601,-71.0589, 12/31/23
"""Birthday Block Party""",42.3724,-71.0567, 10/21/23
"""Boston Book Festival""",42.3496,-71.0776, 10/21/23
"""Boston Irish Beerfest""",42.2178,-71.137, 10/21/23
"""CIDERFEST 2023""",42.3447,-71.099, 10/21/23
