agency_cd,site_no,datetime,214163_63680_00002,214163_63680_00002_cd,214164_63680_00001,214164_63680_00001_cd,Turbidity (FNU),Turbidity (FNU)_cd,64196_00010_00001,64196_00010_00001_cd,64197_00010_00002,64197_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,64199_00095_00001,64199_00095_00001_cd,64200_00095_00002,64200_00095_00002_cd,Mean Specific Conductance ,Mean Specific Conductance _cd
5s,15s,20d,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s
USGS,1104455,4/4/2023,0.3,P,6.8,P,1,P,12.2,P,10.2,P,11.1,P,1710,P,1680,P,1690,P
USGS,1104455,4/5/2023,0.3,P,11.1,P,0.5,P,11.6,P,10.5,P,11,P,1730,P,1680,P,1710,P
USGS,1104455,4/6/2023,0.3,P,5.8,P,0.6,P,11.3,P,10.3,P,10.8,P,1750,P,1710,P,1730,P
USGS,1104455,4/7/2023,0.3,P,1.8,P,0.3,P,11.3,P,10.6,P,10.9,P,1750,P,1710,P,1740,P
USGS,1104455,4/8/2023,0.3,P,8.7,P,0.4,P,11.3,P,10,P,10.5,P,1790,P,1740,P,1770,P
USGS,1104455,4/9/2023,0.3,P,9.8,P,0.5,P,11.4,P,10,P,10.6,P,1800,P,1720,P,1780,P
USGS,1104455,4/10/2023,0.3,P,0.8,P,0.3,P,11.6,P,10.2,P,10.8,P,1810,P,1770,P,1790,P
USGS,1104455,4/11/2023,0.3,P,1.4,P,0.3,P,11.8,P,10.6,P,11.2,P,1820,P,1780,P,1810,P
USGS,1104455,4/12/2023,0.3,P,4,P,0.3,P,12.2,P,11.2,P,11.6,P,1830,P,1810,P,1820,P
USGS,1104455,4/13/2023,0.3,P,10.2,P,0.4,P,13,P,11.4,P,12,P,1840,P,1820,P,1830,P
USGS,1104455,4/14/2023,0.3,P,8.9,P,0.4,P,13.3,P,11.9,P,12.4,P,1830,P,1730,P,1810,P
USGS,1104455,4/15/2023,0.3,P,2.1,P,0.3,P,13.1,P,11.8,P,12.3,P,1830,P,1800,P,1820,P
USGS,1104455,4/16/2023,0.3,P,2.5,P,0.3,P,12.5,P,12,P,12.2,P,1830,P,1790,P,1820,P
USGS,1104455,4/17/2023,0.3,P,70.4,P,5.4,P,12.3,P,11.6,P,12,P,1860,P,1410,P,1760,P
USGS,1104455,4/18/2023,0.3,P,0.6,P,0.3,P,12,P,11.5,P,11.7,P,1800,P,1710,P,1790,P
USGS,1104455,4/19/2023,0.3,P,0.3,P,0.3,P,11.5,P,11,P,11.3,P,1830,P,1770,P,1800,P
USGS,1104455,4/20/2023,0.3,P,25.1,P,0.6,P,12.2,P,10.8,P,11.3,P,1820,P,1770,P,1800,P
USGS,1104455,4/21/2023,0.3,P,12.2,P,0.4,P,12.4,P,11.2,P,11.6,P,1830,P,1780,P,1800,P
USGS,1104455,4/22/2023,0.3,P,284,P,5.8,P,11.8,P,10.2,P,11.5,P,1830,P,567,P,1780,P
USGS,1104455,4/23/2023,3.4,P,149,P,21,P,12.6,P,10,P,11.6,P,2040,P,203,P,1230,P
USGS,1104455,4/24/2023,1.8,P,9.7,P,4.7,P,12.6,P,10.8,P,11.6,P,1170,P,983,P,1070,P
USGS,1104455,4/25/2023,1.2,P,18.8,P,2.7,P,13,P,11.4,P,12.1,P,1320,P,1040,P,1220,P
USGS,1104455,4/26/2023,0.4,P,1.9,P,0.8,P,13.2,P,11.9,P,12.4,P,1430,P,1240,P,1360,P
USGS,1104455,4/27/2023,0.3,P,74.4,P,4.3,P,14,P,11.9,P,12.6,P,1490,P,432,P,1350,P
USGS,1104455,4/28/2023,0.3,P,7.2,P,0.7,P,13.2,P,11.6,P,12.4,P,1510,P,1360,P,1470,P
USGS,1104455,4/29/2023,0.3,P,37.8,P,2.1,P,12.5,P,10.8,P,12.2,P,1570,P,438,P,1470,P
USGS,1104455,4/30/2023,2.6,P,57.4,P,10.1,P,12.5,P,10.3,P,12,P,1310,P,113,P,865,P
USGS,1104455,5/1/2023,2.4,P,58.6,P,6.8,P,14.2,P,11.8,P,12.8,P,863,P,154,P,722,P
USGS,1104455,5/2/2023,1.6,P,50.8,P,5.9,P,12.7,P,11.6,P,12.1,P,1030,P,602,P,927,P
USGS,1104455,5/3/2023,1.4,P,27.6,P,3.4,P,12.4,P,11.2,P,11.8,P,1160,P,778,P,1080,P
USGS,1104455,5/4/2023,1,P,9.9,P,2.2,P,11.7,P,11.2,P,11.5,P,1200,P,836,P,1150,P
USGS,1104455,5/5/2023,0.4,P,3.3,P,1,P,12.9,P,11.2,P,11.8,P,1270,P,1200,P,1240,P
USGS,1104455,5/6/2023,0.3,P,4.1,P,0.7,P,14.2,P,11.3,P,12.7,P,1340,P,1270,P,1300,P
USGS,1104455,5/7/2023,0.3,P,2,P,0.4,P,14.5,P,12.4,P,13.5,P,1380,P,1340,P,1360,P
USGS,1104455,5/8/2023,0.3,P,3.1,P,0.4,P,14.9,P,13.5,P,14.1,P,1440,P,1360,P,1410,P
USGS,1104455,5/9/2023,0.3,P,6,P,0.5,P,13.9,P,12.6,P,13.3,P,1480,P,1430,P,1460,P
USGS,1104455,5/10/2023,0.3,P,9.4,P,0.5,P,14,P,12.4,P,13.1,P,1520,P,1470,P,1500,P
USGS,1104455,5/11/2023,0.3,P,2.9,P,0.4,P,14,P,12.7,P,13.3,P,1550,P,1510,P,1530,P
USGS,1104455,5/12/2023,0.3,P,7.1,P,0.4,P,14.1,P,12.8,P,13.3,P,1590,P,1530,P,1560,P
USGS,1104455,5/13/2023,0.3,P,1.2,P,0.3,P,14,P,12.9,P,13.4,P,1620,P,1560,P,1590,P
USGS,1104455,5/14/2023,0.3,P,0.3,P,0.3,P,13.4,P,12.6,P,12.9,P,1650,P,1590,P,1620,P
USGS,1104455,5/15/2023,0.3,P,4.2,P,0.4,P,13.2,P,12.2,P,12.6,P,1680,P,1620,P,1650,P
USGS,1104455,5/16/2023,0.3,P,5,P,0.4,P,13.3,P,12.4,P,12.8,P,1690,P,1660,P,1670,P
USGS,1104455,5/17/2023,0.3,P,4.6,P,0.3,P,13,P,12,P,12.4,P,1700,P,1660,P,1680,P
USGS,1104455,5/18/2023,0.3,P,3.4,P,0.3,P,13,P,11.6,P,12.2,P,1720,P,1680,P,1700,P
USGS,1104455,5/19/2023,0.3,P,16.6,P,2.1,P,13.4,P,12,P,12.6,P,1720,P,1420,P,1580,P
USGS,1104455,5/20/2023,0.3,P,132,P,13.1,P,18.4,P,12.6,P,15.1,P,1440,P,77,P,1060,P
USGS,1104455,5/21/2023,1.9,P,34.6,P,5.9,P,18,P,15.8,P,16.7,P,931,P,218,P,848,P
USGS,1104455,5/22/2023,0.5,P,2.1,P,1.3,P,16.2,P,14.7,P,15.4,P,1120,P,931,P,1050,P
USGS,1104455,5/23/2023,0.3,P,4.4,P,0.7,P,15.1,P,13.9,P,14.6,P,1220,P,1120,P,1180,P
USGS,1104455,5/24/2023,0.3,P,20.1,P,1.6,P,15.4,P,13.7,P,14.5,P,1350,P,989,P,1220,P
USGS,1104455,5/25/2023,0.3,P,4.3,P,0.5,P,15,P,13.9,P,14.4,P,1310,P,1240,P,1280,P
USGS,1104455,5/26/2023,0.3,P,2.9,P,0.7,P,15.1,P,13.6,P,14.3,P,1340,P,1290,P,1320,P
USGS,1104455,5/27/2023,0.3,P,4.7,P,0.6,P,15.4,P,13.8,P,14.5,P,1370,P,1330,P,1350,P
USGS,1104455,5/28/2023,0.3,P,1.5,P,0.6,P,16,P,14.6,P,15.3,P,1380,P,1360,P,1370,P
USGS,1104455,5/29/2023,0.3,P,10.4,P,0.5,P,15.8,P,14.4,P,15.1,P,1390,P,1360,P,1380,P
USGS,1104455,5/30/2023,0.3,P,93.1,P,1.1,P,15.3,P,13.9,P,14.5,P,1400,P,1370,P,1380,P
USGS,1104455,5/31/2023,0.3,P,2,P,0.4,P,15.3,P,13.9,P,14.6,P,1390,P,1360,P,1380,P
USGS,1104455,6/1/2023,0.3,P,2.8,P,0.4,P,15.3,P,14.2,P,14.7,P,1380,P,1360,P,1370,P
