agency_cd,site_no,datetime,Mean Water Temp (C),64206_00010_00003_cd,Mean Specific Conductance ,Mean Specific Conductance _cd,,,,,,,,,,,,,,
5s,15s,20d,14n,10s,14n,10s,,,,,,,,,,,,,,
USGS,1104460,4/4/2023,10.3,P,485,P,,,,,,,,,,,,,,
USGS,1104460,4/5/2023,9.9,P,479,P,,,,,,,,,,,,,,
USGS,1104460,4/6/2023,9.8,P,484,P,,,,,,,,,,,,,,
USGS,1104460,4/7/2023,10.5,P,485,P,,,,,,,,,,,,,,
USGS,1104460,4/8/2023,9.3,P,488,P,,,,,,,,,,,,,,
USGS,1104460,4/9/2023,9.5,P,497,P,,,,,,,,,,,,,,
USGS,1104460,4/10/2023,10.5,P,508,P,,,,,,,,,,,,,,
USGS,1104460,4/11/2023,11.6,P,495,P,,,,,,,,,,,,,,
USGS,1104460,4/12/2023,13.1,P,501,P,,,,,,,,,,,,,,
USGS,1104460,4/13/2023,14.4,P,509,P,,,,,,,,,,,,,,
USGS,1104460,4/14/2023,16.1,P,513,P,,,,,,,,,,,,,,
USGS,1104460,4/15/2023,15.5,P,510,P,,,,,,,,,,,,,,
USGS,1104460,4/16/2023,14.3,P,516,P,,,,,,,,,,,,,,
USGS,1104460,4/17/2023,13,P,515,P,,,,,,,,,,,,,,
USGS,1104460,4/18/2023,12.1,P,511,P,,,,,,,,,,,,,,
USGS,1104460,4/19/2023,11,P,513,P,,,,,,,,,,,,,,
USGS,1104460,4/20/2023,11.5,P,512,P,,,,,,,,,,,,,,
USGS,1104460,4/21/2023,12.8,P,506,P,,,,,,,,,,,,,,
USGS,1104460,4/22/2023,12.3,P,487,P,,,,,,,,,,,,,,
USGS,1104460,4/23/2023,11.2,P,453,P,,,,,,,,,,,,,,
USGS,1104460,4/24/2023,11.8,P,393,P,,,,,,,,,,,,,,
USGS,1104460,4/25/2023,12.7,P,392,P,,,,,,,,,,,,,,
USGS,1104460,4/26/2023,13.1,P,415,P,,,,,,,,,,,,,,
USGS,1104460,4/27/2023,12.9,P,462,P,,,,,,,,,,,,,,
USGS,1104460,4/28/2023,12.9,P,487,P,,,,,,,,,,,,,,
USGS,1104460,4/29/2023,12.5,P,484,P,,,,,,,,,,,,,,
USGS,1104460,4/30/2023,11.8,P,444,P,,,,,,,,,,,,,,
USGS,1104460,5/1/2023,13.3,P,420,P,,,,,,,,,,,,,,
USGS,1104460,5/2/2023,12.4,P,578,P,,,,,,,,,,,,,,
USGS,1104460,5/3/2023,12,P,605,P,,,,,,,,,,,,,,
USGS,1104460,5/4/2023,11.6,P,627,P,,,,,,,,,,,,,,
USGS,1104460,5/5/2023,12.2,P,632,P,,,,,,,,,,,,,,
USGS,1104460,5/6/2023,13.7,P,635,P,,,,,,,,,,,,,,
USGS,1104460,5/7/2023,15.3,P,630,P,,,,,,,,,,,,,,
USGS,1104460,5/8/2023,16.9,P,596,P,,,,,,,,,,,,,,
USGS,1104460,5/9/2023,15.4,P,613,P,,,,,,,,,,,,,,
USGS,1104460,5/10/2023,15.1,P,603,P,,,,,,,,,,,,,,
USGS,1104460,5/11/2023,16.1,P,555,P,,,,,,,,,,,,,,
USGS,1104460,5/12/2023,17.3,P,570,P,,,,,,,,,,,,,,
USGS,1104460,5/13/2023,18.4,P,584,P,,,,,,,,,,,,,,
USGS,1104460,5/14/2023,17,P,605,P,,,,,,,,,,,,,,
USGS,1104460,5/15/2023,15.7,P,637,P,,,,,,,,,,,,,,
USGS,1104460,5/16/2023,16.2,P,635,P,,,,,,,,,,,,,,
USGS,1104460,5/17/2023,15.9,P,632,P,,,,,,,,,,,,,,
USGS,1104460,5/18/2023,14,P,655,P,,,,,,,,,,,,,,
USGS,1104460,5/19/2023,14.6,P,669,P,,,,,,,,,,,,,,
USGS,1104460,5/20/2023,15,P,604,P,,,,,,,,,,,,,,
USGS,1104460,5/21/2023,17.2,P,546,P,,,,,,,,,,,,,,
USGS,1104460,5/22/2023,17,P,614,P,,,,,,,,,,,,,,
USGS,1104460,5/23/2023,16.2,P,671,P,,,,,,,,,,,,,,
USGS,1104460,5/24/2023,16,P,708,P,,,,,,,,,,,,,,
USGS,1104460,5/25/2023,16.1,P,711,P,,,,,,,,,,,,,,
USGS,1104460,5/26/2023,15.9,P,687,P,,,,,,,,,,,,,,
USGS,1104460,5/27/2023,16.5,P,666,P,,,,,,,,,,,,,,
USGS,1104460,5/28/2023,17.8,P,618,P,,,,,,,,,,,,,,
USGS,1104460,5/29/2023,18,P,600,P,,,,,,,,,,,,,,
USGS,1104460,5/30/2023,16.6,P,618,P,,,,,,,,,,,,,,
USGS,1104460,5/31/2023,17.1,P,631,P,,,,,,,,,,,,,,
USGS,1104460,6/1/2023,18.6,P,644,P,,,,,,,,,,,,,,
USGS,1104460,6/2/2023,19.9,P,645,P,,,,,,,,,,,,,,
USGS,1104460,6/3/2023,17.2,P,704,P,,,,,,,,,,,,,,
USGS,1104460,6/4/2023,14.4,P,652,P,,,,,,,,,,,,,,
USGS,1104460,6/5/2023,14.4,P,634,P,,,,,,,,,,,,,,
USGS,1104460,6/6/2023,15.6,P,683,P,,,,,,,,,,,,,,
USGS,1104460,6/7/2023,15.6,P,684,P,,,,,,,,,,,,,,
USGS,1104460,6/8/2023,15.3,P,694,P,,,,,,,,,,,,,,
USGS,1104460,6/9/2023,15.2,P,681,P,,,,,,,,,,,,,,
USGS,1104460,6/10/2023,15.5,P,716,P,,,,,,,,,,,,,,
USGS,1104460,6/11/2023,16.6,P,703,P,,,,,,,,,,,,,,
USGS,1104460,6/12/2023,18.1,P,695,P,,,,,,,,,,,,,,
USGS,1104460,6/13/2023,19.2,P,715,P,,,,,,,,,,,,,,
USGS,1104460,6/14/2023,18.9,P,752,P,,,,,,,,,,,,,,
USGS,1104460,6/15/2023,18.8,P,709,P,,,,,,,,,,,,,,
USGS,1104460,6/16/2023,19.3,P,724,P,,,,,,,,,,,,,,
USGS,1104460,6/17/2023,18.2,P,689,P,,,,,,,,,,,,,,
USGS,1104460,6/18/2023,17.7,P,641,P,,,,,,,,,,,,,,
USGS,1104460,6/19/2023,17.8,P,623,P,,,,,,,,,,,,,,
USGS,1104460,6/20/2023,17.3,P,657,P,,,,,,,,,,,,,,
USGS,1104460,6/21/2023,17.8,P,690,P,,,,,,,,,,,,,,
USGS,1104460,6/22/2023,18.3,P,714,P,,,,,,,,,,,,,,
USGS,1104460,6/23/2023,18.8,P,737,P,,,,,,,,,,,,,,
USGS,1104460,6/24/2023,19.4,P,751,P,,,,,,,,,,,,,,
USGS,1104460,6/25/2023,20.2,P,744,P,,,,,,,,,,,,,,
USGS,1104460,6/26/2023,20.6,P,753,P,,,,,,,,,,,,,,
USGS,1104460,6/27/2023,20.6,P,787,P,,,,,,,,,,,,,,
USGS,1104460,6/28/2023,20.4,P,782,P,,,,,,,,,,,,,,
USGS,1104460,6/29/2023,21,P,766,P,,,,,,,,,,,,,,
USGS,1104460,6/30/2023,21.2,P,756,P,,,,,,,,,,,,,,
USGS,1104460,7/1/2023,21.3,P,752,P,,,,,,,,,,,,,,
