agency_cd,site_no,datetime,64209_00010_00001,64209_00010_00001_cd,64210_00010_00002,64210_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,64212_00095_00001,64212_00095_00001_cd,64213_00095_00002,64213_00095_00002_cd,Mean Specific Conductance ,Mean Specific Conductance _cd,,,,,,

USGS,1104475,4/4/2023,12.7,P,8.8,P,10.5,P,343,P,340,P,342,P,,,,,,
USGS,1104475,4/5/2023,11,P,8.9,P,9.8,P,343,P,341,P,342,P,,,,,,
USGS,1104475,4/6/2023,11.6,P,8.4,P,10,P,344,P,342,P,343,P,,,,,,
USGS,1104475,4/7/2023,12,P,8.9,P,10.4,P,347,P,341,P,344,P,,,,,,
USGS,1104475,4/8/2023,11.5,P,7.5,P,9.4,P,349,P,344,P,347,P,,,,,,
USGS,1104475,4/9/2023,11.9,P,7.4,P,9.6,P,349,P,346,P,348,P,,,,,,
USGS,1104475,4/10/2023,13.2,P,8,P,10.6,P,349,P,345,P,347,P,,,,,,
USGS,1104475,4/11/2023,14.6,P,9.5,P,12,P,350,P,347,P,348,P,,,,,,
USGS,1104475,4/12/2023,15.3,P,11.7,P,13.2,P,365,P,341,P,353,P,,,,,,
USGS,1104475,4/13/2023,17.8,P,12.1,P,15,P,356,P,342,P,350,P,,,,,,
USGS,1104475,4/14/2023,19.1,P,13.9,P,15.9,P,368,P,355,P,362,P,,,,,,
USGS,1104475,4/15/2023,17.6,P,14.1,P,15.3,P,362,P,349,P,356,P,,,,,,
USGS,1104475,4/16/2023,15.5,P,13.8,P,14.6,P,361,P,350,P,355,P,,,,,,
USGS,1104475,4/17/2023,13.8,P,12.8,P,13.3,P,368,P,340,P,352,P,,,,,,
USGS,1104475,4/18/2023,12.9,P,11.5,P,12.2,P,351,P,348,P,350,P,,,,,,
USGS,1104475,4/19/2023,11.8,P,9.7,P,10.9,P,353,P,349,P,351,P,,,,,,
USGS,1104475,4/20/2023,14.1,P,9.2,P,11.4,P,355,P,351,P,353,P,,,,,,
USGS,1104475,4/21/2023,15,P,11,P,12.3,P,362,P,354,P,358,P,,,,,,
USGS,1104475,4/22/2023,12.8,P,10.7,P,11.7,P,398,P,260,P,362,P,,,,,,
USGS,1104475,4/23/2023,11.4,P,10.8,P,11.2,P,468,P,248,P,304,P,,,,,,
USGS,1104475,4/24/2023,13.6,P,10.8,P,12,P,323,P,300,P,313,P,,,,,,
USGS,1104475,4/25/2023,14.6,P,11.2,P,12.7,P,330,P,279,P,323,P,,,,,,
USGS,1104475,4/26/2023,14.2,P,11.8,P,12.7,P,335,P,324,P,331,P,,,,,,
USGS,1104475,4/27/2023,14,P,11.6,P,12.6,P,335,P,271,P,328,P,,,,,,
USGS,1104475,4/28/2023,15,P,10.6,P,12.9,P,337,P,332,P,335,P,,,,,,
USGS,1104475,4/29/2023,12.8,P,11.5,P,12.4,P,340,P,264,P,336,P,,,,,,
USGS,1104475,4/30/2023,12.1,P,11,P,11.7,P,304,P,189,P,279,P,,,,,,
USGS,1104475,5/1/2023,14.6,P,12,P,13,P,285,P,175,P,260,P,,,,,,
USGS,1104475,5/2/2023,12.6,P,11.1,P,11.9,P,291,P,272,P,285,P,,,,,,
USGS,1104475,5/3/2023,12.2,P,10.5,P,11.4,P,295,P,286,P,291,P,,,,,,
USGS,1104475,5/4/2023,11.3,P,10.5,P,10.9,P,300,P,291,P,296,P,,,,,,
USGS,1104475,5/5/2023,13.1,P,10.3,P,11.5,P,348,P,299,P,315,P,,,,,,
USGS,1104475,5/6/2023,15.9,P,10.5,P,13.2,P,348,P,310,P,323,P,,,,,,
USGS,1104475,5/7/2023,16.8,P,12.6,P,14.8,P,318,P,312,P,315,P,,,,,,
