agency_cd,site_no,datetime,64080_00095_00001,64080_00095_00001_cd,64081_00095_00002,64081_00095_00002_cd,Mean Specific Conductance ,Mean Specific Conductance _cd,64083_00010_00001,64083_00010_00001_cd,64084_00010_00002,64084_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,,,,,,

USGS,1095434,4/4/2023,1050,P,1030,P,1040,P,13,P,7.1,P,9.5,P,,,,,,
USGS,1095434,4/5/2023,1050,P,1040,P,1050,P,9.2,P,7.2,P,8.4,P,,,,,,
USGS,1095434,4/6/2023,1060,P,1030,P,1040,P,12.9,P,6.9,P,9.6,P,,,,,,
USGS,1095434,4/7/2023,1060,P,1050,P,1050,P,11,P,6.9,P,9,P,,,,,,
USGS,1095434,4/8/2023,1060,P,1040,P,1050,P,11,P,5.1,P,7.6,P,,,,,,
USGS,1095434,4/9/2023,1060,P,1030,P,1050,P,11.5,P,4.5,P,7.6,P,,,,,,
USGS,1095434,4/10/2023,1050,P,1030,P,1040,P,12.9,P,5.6,P,8.8,P,,,,,,
USGS,1095434,4/11/2023,1040,P,1030,P,1040,P,13.9,P,7.2,P,10.3,P,,,,,,
USGS,1095434,4/12/2023,1050,P,1030,P,1040,P,15,P,9.6,P,11.8,P,,,,,,
USGS,1095434,4/13/2023,1040,P,1020,P,1030,P,17.5,P,9.2,P,13.1,P,,,,,,
USGS,1095434,4/14/2023,1030,P,1010,P,1020,P,18.7,P,11.6,P,14.6,P,,,,,,
USGS,1095434,4/15/2023,1030,P,1020,P,1020,P,16.7,P,10.8,P,13.5,P,,,,,,
USGS,1095434,4/16/2023,1020,P,1010,P,1020,P,13.4,P,11.7,P,12.5,P,,,,,,
USGS,1095434,4/17/2023,1020,P,988,P,1010,P,12,P,10.5,P,11.3,P,,,,,,
USGS,1095434,4/18/2023,1020,P,1000,P,1010,P,11.2,P,9.2,P,10.1,P,,,,,,
USGS,1095434,4/19/2023,1020,P,1000,P,1020,P,9.9,P,7.4,P,8.8,P,,,,,,
USGS,1095434,4/20/2023,1020,P,1010,P,1020,P,14.1,P,6.9,P,10,P,,,,,,
USGS,1095434,4/21/2023,1020,P,1010,P,1020,P,15.4,P,8.8,P,11.4,P,,,,,,
USGS,1095434,4/22/2023,1020,P,961,P,1010,P,11.7,P,9.6,P,10.4,P,,,,,,
USGS,1095434,4/23/2023,989,P,364,P,592,P,10.1,P,9.3,P,9.7,P,,,,,,
USGS,1095434,4/24/2023,928,P,697,P,860,P,13.2,P,9.1,P,10.7,P,,,,,,
USGS,1095434,4/25/2023,958,P,927,P,941,P,11.8,P,7.9,P,10,P,,,,,,
USGS,1095434,4/26/2023,973,P,957,P,963,P,13.7,P,9.2,P,10.9,P,,,,,,
USGS,1095434,4/27/2023,976,P,965,P,972,P,12.8,P,9.1,P,10.5,P,,,,,,
USGS,1095434,4/28/2023,980,P,972,P,977,P,14.3,P,8,P,10.8,P,,,,,,
USGS,1095434,4/29/2023,981,P,701,P,960,P,11.1,P,9.5,P,10.1,P,,,,,,
USGS,1095434,4/30/2023,846,P,247,P,644,P,10.5,P,9.6,P,10,P,,,,,,
USGS,1095434,5/1/2023,738,P,246,P,588,P,13.7,P,10.4,P,11.8,P,,,,,,
USGS,1095434,5/2/2023,759,P,484,P,675,P,12,P,9.5,P,10.6,P,,,,,,
USGS,1095434,5/3/2023,789,P,647,P,746,P,11.1,P,8.9,P,10.1,P,,,,,,
USGS,1095434,5/4/2023,797,P,572,P,723,P,10.4,P,9,P,9.7,P,,,,,,
USGS,1095434,5/5/2023,835,P,797,P,816,P,12.8,P,9.1,P,10.6,P,,,,,,
USGS,1095434,5/6/2023,863,P,835,P,848,P,15.4,P,9.1,P,12.1,P,,,,,,
USGS,1095434,5/7/2023,882,P,863,P,871,P,16,P,10.3,P,13,P,,,,,,
USGS,1095434,5/8/2023,904,P,874,P,888,P,16,P,11.4,P,13.5,P,,,,,,
USGS,1095434,5/9/2023,914,P,898,P,905,P,14.2,P,9.6,P,11.7,P,,,,,,
USGS,1095434,5/10/2023,925,P,911,P,917,P,14.7,P,9,P,11.8,P,,,,,,
USGS,1095434,5/11/2023,935,P,919,P,925,P,15.6,P,10.5,P,12.9,P,,,,,,
USGS,1095434,5/12/2023,1020,P,923,P,939,P,16.9,P,11.4,P,14,P,,,,,,
USGS,1095434,5/13/2023,1020,P,987,P,999,P,17,P,12.7,P,14.4,P,,,,,,
USGS,1095434,5/14/2023,989,P,975,P,980,P,14.2,P,10.8,P,12.3,P,,,,,,
USGS,1095434,5/15/2023,980,P,971,P,976,P,14.4,P,10,P,12,P,,,,,,
USGS,1095434,5/16/2023,979,P,972,P,976,P,15.2,P,11.4,P,12.9,P,,,,,,
USGS,1095434,5/17/2023,983,P,976,P,980,P,13.3,P,8.9,P,11.6,P,,,,,,
USGS,1095434,5/18/2023,985,P,973,P,978,P,13.1,P,7.7,P,10.3,P,,,,,,
USGS,1095434,5/19/2023,982,P,974,P,978,P,14,P,9.1,P,11.6,P,,,,,,
USGS,1095434,5/20/2023,985,P,284,P,751,P,16,P,10.7,P,13.1,P,,,,,,
USGS,1095434,5/21/2023,863,P,419,P,767,P,15.8,P,13.2,P,14.4,P,,,,,,
USGS,1095434,5/22/2023,910,P,861,P,888,P,15.2,P,11.9,P,13.3,P,,,,,,
USGS,1095434,5/23/2023,928,P,910,P,918,P,15,P,10.8,P,12.7,P,,,,,,
USGS,1095434,5/24/2023,941,P,701,P,890,P,15.3,P,11,P,13.1,P,,,,,,
USGS,1095434,5/25/2023,951,P,798,P,920,P,14.5,P,10.9,P,12.5,P,,,,,,
USGS,1095434,5/26/2023,957,P,946,P,952,P,14.8,P,10,P,12.2,P,,,,,,
USGS,1095434,5/27/2023,965,P,953,P,959,P,15.7,P,10.2,P,12.9,P,,,,,,
USGS,1095434,5/28/2023,974,P,959,P,964,P,17.2,P,12,P,14.4,P,,,,,,
USGS,1095434,5/29/2023,983,P,969,P,976,P,16.4,P,11.7,P,14,P,,,,,,
USGS,1095434,5/30/2023,986,P,976,P,981,P,15.5,P,10.2,P,12.7,P,,,,,,
USGS,1095434,5/31/2023,989,P,975,P,984,P,16.5,P,10.7,P,13.4,P,,,,,,
USGS,1095434,6/1/2023,992,P,977,P,986,P,17.7,P,12.2,P,14.7,P,,,,,,
USGS,1095434,6/2/2023,997,P,886,P,987,P,18.3,P,13.8,P,15.4,P,,,,,,
USGS,1095434,6/3/2023,987,P,890,P,963,P,15,P,11.1,P,12.8,P,,,,,,
USGS,1095434,6/4/2023,986,P,944,P,982,P,12,P,10.7,P,11.3,P,,,,,,
USGS,1095434,6/5/2023,988,P,964,P,983,P,12.9,P,10.9,P,11.9,P,,,,,,
USGS,1095434,6/6/2023,996,P,972,P,991,P,15.1,P,11.4,P,13,P,,,,,,
USGS,1095434,6/7/2023,1000,P,988,P,996,P,13.2,P,11.6,P,12.4,P,,,,,,
USGS,1095434,6/8/2023,1000,P,891,P,990,P,13.6,P,11.4,P,12.2,P,,,,,,
USGS,1095434,6/9/2023,990,P,854,P,952,P,14.2,P,10.5,P,12.3,P,,,,,,
USGS,1095434,6/10/2023,988,P,882,P,959,P,14.4,P,11.1,P,12.7,P,,,,,,
USGS,1095434,6/11/2023,991,P,905,P,973,P,16.4,P,11.4,P,13.8,P,,,,,,
USGS,1095434,6/12/2023,1000,P,989,P,996,P,17,P,13,P,14.8,P,,,,,,
USGS,1095434,6/13/2023,999,P,959,P,991,P,16.3,P,14.4,P,15.1,P,,,,,,
USGS,1095434,6/14/2023,1020,P,497,P,903,P,17,P,13.8,P,15.2,P,,,,,,
USGS,1095434,6/15/2023,990,P,637,P,888,P,17.1,P,13.7,P,15,P,,,,,,
USGS,1095434,6/16/2023,1010,P,980,P,1000,P,17.2,P,13.6,P,15.1,P,,,,,,
USGS,1095434,6/17/2023,1010,P,207,P,712,P,18,P,13.8,P,15.3,P,,,,,,
USGS,1095434,6/18/2023,957,P,598,P,870,P,16.2,P,14.1,P,15.1,P,,,,,,
USGS,1095434,6/19/2023,991,P,956,P,976,P,15.5,P,12.9,P,14.2,P,,,,,,
USGS,1095434,6/20/2023,999,P,991,P,996,P,16.3,P,13.4,P,14.6,P,,,,,,
USGS,1095434,6/21/2023,1010,P,998,P,1000,P,16,P,13,P,14.4,P,,,,,,
USGS,1095434,6/22/2023,1020,P,1010,P,1010,P,17.1,P,12.7,P,14.5,P,,,,,,
USGS,1095434,6/23/2023,1020,P,1010,P,1010,P,16.6,P,13.6,P,15.1,P,,,,,,
USGS,1095434,6/24/2023,1020,P,686,P,907,P,18.8,P,14.8,P,16.2,P,,,,,,
USGS,1095434,6/25/2023,1010,P,823,P,969,P,19.4,P,15.8,P,17.2,P,,,,,,
USGS,1095434,6/26/2023,1020,P,524,P,887,P,21.3,P,15.7,P,17.4,P,,,,,,
USGS,1095434,6/27/2023,962,P,510,P,836,P,19.1,P,16.4,P,17.7,P,,,,,,
USGS,1095434,6/28/2023,988,P,393,P,829,P,20,P,16,P,17.5,P,,,,,,
USGS,1095434,6/29/2023,1000,P,646,P,900,P,18.6,P,16.1,P,17.5,P,,,,,,
USGS,1095434,6/30/2023,1030,P,999,P,1010,P,18.3,P,15.2,P,16.6,P,,,,,,
USGS,1095434,7/1/2023,1030,P,1020,P,1030,P,19.1,P,15.8,P,17,P,,,,,,
USGS,1095434,7/2/2023,,,,,,,20.6,P,15.6,P,17.9,P,,,,,,
USGS,1095434,7/3/2023,,,,,,,18.8,P,17.8,P,18.3,P,,,,,,
USGS,1095434,7/4/2023,,,,,,,19.4,P,17.6,P,18.3,P,,,,,,
USGS,1095434,7/5/2023,,,,,,,19.7,P,17.1,P,18.3,P,,,,,,
USGS,1095434,7/6/2023,,,,,,,19.5,P,17.2,P,18.3,P,,,,,,
USGS,1095434,7/7/2023,,,,,,,20.2,P,17.1,P,18.4,P,,,,,,
USGS,1095434,7/8/2023,,,,,,,19.8,P,17.4,P,18.3,P,,,,,,
USGS,1095434,7/9/2023,,,,,,,18.8,P,17.3,P,17.9,P,,,,,,
USGS,1095434,7/10/2023,,,,,,,21.3,P,17.1,P,19.1,P,,,,,,
USGS,1095434,7/11/2023,,,,,,,20.2,P,18.1,P,19.1,P,,,,,,
USGS,1095434,7/12/2023,,,,,,,20.1,P,17.6,P,18.8,P,,,,,,
USGS,1095434,7/13/2023,,,,,,,19.6,P,17.3,P,18.4,P,,,,,,
USGS,1095434,7/14/2023,,,,,,,20.8,P,18.4,P,19.4,P,,,,,,
USGS,1095434,7/15/2023,,,,,,,20,P,18.4,P,19.1,P,,,,,,
USGS,1095434,7/16/2023,,,,,,,21.8,P,18.4,P,20.1,P,,,,,,
USGS,1095434,7/17/2023,,,,,,,20.2,P,18.6,P,19.3,P,,,,,,
USGS,1095434,7/18/2023,,,,,,,22.6,P,17.9,P,19.3,P,,,,,,
USGS,1095434,7/19/2023,,,,,,,19.2,P,17.5,P,18.4,P,,,,,,
USGS,1095434,7/20/2023,,,,,,,18.9,P,16.4,P,17.6,P,,,,,,
USGS,1095434,7/21/2023,,,,,,,20.1,P,16.5,P,17.6,P,,,,,,
USGS,1095434,7/22/2023,,,,,,,19,P,17.1,P,18.1,P,,,,,,
USGS,1095434,7/23/2023,,,,,,,18.8,P,16,P,17.3,P,,,,,,
USGS,1095434,7/24/2023,,,,,,,18.3,P,16,P,17.2,P,,,,,,
