agency_cd,site_no,datetime,213205_00010_00002,213205_00010_00002_cd,213206_00010_00001,213206_00010_00001_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,,,,,,,,,,,,
5s,15s,20d,14n,10s,14n,10s,14n,10s,,,,,,,,,,,,
USGS,1100568,4/4/2023,8.7,P,11.9,P,10,P,,,,,,,,,,,,
USGS,1100568,4/5/2023,8.7,P,9.9,P,9.3,P,,,,,,,,,,,,
USGS,1100568,4/6/2023,8.6,P,11.1,P,9.8,P,,,,,,,,,,,,
USGS,1100568,4/7/2023,8.2,P,10.8,P,9.6,P,,,,,,,,,,,,
USGS,1100568,4/8/2023,7.4,P,10.6,P,8.8,P,,,,,,,,,,,,
USGS,1100568,4/9/2023,7.2,P,11,P,9,P,,,,,,,,,,,,
USGS,1100568,4/10/2023,7.8,P,11.9,P,9.8,P,,,,,,,,,,,,
USGS,1100568,4/11/2023,8.7,P,12.7,P,10.6,P,,,,,,,,,,,,
USGS,1100568,4/12/2023,10.2,P,12.8,P,11.4,P,,,,,,,,,,,,
USGS,1100568,4/13/2023,10.1,P,14.6,P,12.2,P,,,,,,,,,,,,
USGS,1100568,4/14/2023,11.4,P,15.2,P,12.9,P,,,,,,,,,,,,
USGS,1100568,4/15/2023,11,P,14.2,P,12.3,P,,,,,,,,,,,,
USGS,1100568,4/16/2023,11.3,P,12.8,P,11.9,P,,,,,,,,,,,,
USGS,1100568,4/17/2023,11.1,P,11.8,P,11.4,P,,,,,,,,,,,,
USGS,1100568,4/18/2023,10.6,P,12.3,P,11.2,P,,,,,,,,,,,,
USGS,1100568,4/19/2023,9.4,P,10.9,P,10.2,P,,,,,,,,,,,,
USGS,1100568,4/20/2023,9.2,P,13.2,P,10.9,P,,,,,,,,,,,,
USGS,1100568,4/21/2023,10,P,13.5,P,11.4,P,,,,,,,,,,,,
USGS,1100568,4/22/2023,10.4,P,11.6,P,10.9,P,,,,,,,,,,,,
USGS,1100568,4/23/2023,10.1,P,10.7,P,10.4,P,,,,,,,,,,,,
USGS,1100568,4/24/2023,10.3,P,12.4,P,11.2,P,,,,,,,,,,,,
USGS,1100568,4/25/2023,10.3,P,13.1,P,11.5,P,,,,,,,,,,,,
USGS,1100568,4/26/2023,10.8,P,13.6,P,11.7,P,,,,,,,,,,,,
USGS,1100568,4/27/2023,10.5,P,13.4,P,11.6,P,,,,,,,,,,,,
USGS,1100568,4/28/2023,10.2,P,13.9,P,11.9,P,,,,,,,,,,,,
USGS,1100568,4/29/2023,10.8,P,12,P,11.4,P,,,,,,,,,,,,
USGS,1100568,4/30/2023,10.5,P,11.9,P,11.1,P,,,,,,,,,,,,
USGS,1100568,5/1/2023,11.4,P,13.8,P,12.3,P,,,,,,,,,,,,
USGS,1100568,5/2/2023,10.8,P,12.7,P,11.7,P,,,,,,,,,,,,
USGS,1100568,5/3/2023,11,P,12.3,P,11.6,P,,,,,,,,,,,,
USGS,1100568,5/4/2023,10.8,P,11.5,P,11.1,P,,,,,,,,,,,,
USGS,1100568,5/5/2023,10.7,P,12.8,P,11.5,P,,,,,,,,,,,,
USGS,1100568,5/6/2023,10.3,P,14.7,P,12.3,P,,,,,,,,,,,,
USGS,1100568,5/7/2023,11.2,P,15,P,13,P,,,,,,,,,,,,
USGS,1100568,5/8/2023,12,P,15,P,13.3,P,,,,,,,,,,,,
USGS,1100568,5/9/2023,10.9,P,13.8,P,12.2,P,,,,,,,,,,,,
USGS,1100568,5/10/2023,10.4,P,14.4,P,12.4,P,,,,,,,,,,,,
USGS,1100568,5/11/2023,11.4,P,15,P,13.1,P,,,,,,,,,,,,
USGS,1100568,5/12/2023,12,P,15.7,P,13.8,P,,,,,,,,,,,,
USGS,1100568,5/13/2023,12.8,P,15.6,P,14,P,,,,,,,,,,,,
USGS,1100568,5/14/2023,11.9,P,14.1,P,12.8,P,,,,,,,,,,,,
USGS,1100568,5/15/2023,11.1,P,14.1,P,12.7,P,,,,,,,,,,,,
USGS,1100568,5/16/2023,12.3,P,14.8,P,13.4,P,,,,,,,,,,,,
USGS,1100568,5/17/2023,10.7,P,13.3,P,12.3,P,,,,,,,,,,,,
USGS,1100568,5/18/2023,10.1,P,13.4,P,11.7,P,,,,,,,,,,,,
USGS,1100568,5/19/2023,11.1,P,14.2,P,12.6,P,,,,,,,,,,,,
USGS,1100568,5/20/2023,12.1,P,18,P,14.7,P,,,,,,,,,,,,
USGS,1100568,5/21/2023,14.3,P,17.6,P,15.8,P,,,,,,,,,,,,
USGS,1100568,5/22/2023,13,P,15.1,P,14.1,P,,,,,,,,,,,,
USGS,1100568,5/23/2023,12.2,P,14.6,P,13.3,P,,,,,,,,,,,,
USGS,1100568,5/24/2023,12.1,P,15,P,13.5,P,,,,,,,,,,,,
USGS,1100568,5/25/2023,12.8,P,14.7,P,13.6,P,,,,,,,,,,,,
USGS,1100568,5/26/2023,12,P,14.6,P,13.2,P,,,,,,,,,,,,
USGS,1100568,5/27/2023,12.1,P,15.2,P,13.7,P,,,,,,,,,,,,
USGS,1100568,5/28/2023,13.2,P,16.2,P,14.7,P,,,,,,,,,,,,
USGS,1100568,5/29/2023,13.1,P,15.4,P,14.4,P,,,,,,,,,,,,
USGS,1100568,5/30/2023,12.2,P,15,P,13.7,P,,,,,,,,,,,,
USGS,1100568,5/31/2023,12.8,P,15.7,P,14.3,P,,,,,,,,,,,,
USGS,1100568,6/1/2023,13.8,P,16.6,P,15.2,P,,,,,,,,,,,,
USGS,1100568,6/2/2023,14.6,P,21.8,P,16.8,P,,,,,,,,,,,,
USGS,1100568,6/3/2023,13.9,P,19.8,P,16.3,P,,,,,,,,,,,,
USGS,1100568,6/4/2023,13.4,P,13.9,P,13.6,P,,,,,,,,,,,,
USGS,1100568,6/5/2023,13.3,P,14.6,P,14,P,,,,,,,,,,,,
USGS,1100568,6/6/2023,13.5,P,15.4,P,14.4,P,,,,,,,,,,,,
