agency_cd,site_no,datetime,Mean Water Temp (C),Mean Water Temp (C)_cd,Mean Specific Conductance ,Mean Specific Conductance _cd,,,,,,,,,,,,,,
5s,15s,20d,14n,10s,14n,10s,,,,,,,,,,,,,,
USGS,1104410,4/4/2023,9.3,P,1040,P,,,,,,,,,,,,,,
USGS,1104410,4/5/2023,8,P,1060,P,,,,,,,,,,,,,,
USGS,1104410,4/6/2023,8.8,P,1060,P,,,,,,,,,,,,,,
USGS,1104410,4/7/2023,9.3,P,1080,P,,,,,,,,,,,,,,
USGS,1104410,4/8/2023,7.5,P,1090,P,,,,,,,,,,,,,,
USGS,1104410,4/9/2023,7.5,P,1080,P,,,,,,,,,,,,,,
USGS,1104410,4/10/2023,8.8,P,1080,P,,,,,,,,,,,,,,
USGS,1104410,4/11/2023,10.7,P,1100,P,,,,,,,,,,,,,,
USGS,1104410,4/12/2023,12.2,P,1130,P,,,,,,,,,,,,,,
USGS,1104410,4/13/2023,14,P,1140,P,,,,,,,,,,,,,,
USGS,1104410,4/14/2023,15.2,P,1170,P,,,,,,,,,,,,,,
USGS,1104410,4/15/2023,13.4,P,1170,P,,,,,,,,,,,,,,
USGS,1104410,4/16/2023,12.4,P,1180,P,,,,,,,,,,,,,,
USGS,1104410,4/17/2023,11.2,P,1180,P,,,,,,,,,,,,,,
USGS,1104410,4/18/2023,10.7,P,1220,P,,,,,,,,,,,,,,
USGS,1104410,4/19/2023,9.4,P,1270,P,,,,,,,,,,,,,,
USGS,1104410,4/20/2023,10.4,P,1240,P,,,,,,,,,,,,,,
USGS,1104410,4/21/2023,10.9,P,1240,P,,,,,,,,,,,,,,
USGS,1104410,4/22/2023,9.8,P,1230,P,,,,,,,,,,,,,,
USGS,1104410,4/23/2023,9.1,P,850,P,,,,,,,,,,,,,,
USGS,1104410,4/24/2023,10.3,P,975,P,,,,,,,,,,,,,,
USGS,1104410,4/25/2023,10.8,P,979,P,,,,,,,,,,,,,,
USGS,1104410,4/26/2023,11.1,P,1040,P,,,,,,,,,,,,,,
USGS,1104410,4/27/2023,10.8,P,1040,P,,,,,,,,,,,,,,
USGS,1104410,4/28/2023,11.3,P,1090,P,,,,,,,,,,,,,,
USGS,1104410,4/29/2023,10.5,P,1070,P,,,,,,,,,,,,,,
USGS,1104410,4/30/2023,10,P,752,P,,,,,,,,,,,,,,
USGS,1104410,5/1/2023,12,P,627,P,,,,,,,,,,,,,,
USGS,1104410,5/2/2023,10.8,P,713,P,,,,,,,,,,,,,,
USGS,1104410,5/3/2023,10.1,P,774,P,,,,,,,,,,,,,,
USGS,1104410,5/4/2023,9.6,P,783,P,,,,,,,,,,,,,,
USGS,1104410,5/5/2023,10.4,P,799,P,,,,,,,,,,,,,,
USGS,1104410,5/6/2023,12.5,P,825,P,,,,,,,,,,,,,,
USGS,1104410,5/7/2023,14.1,P,855,P,,,,,,,,,,,,,,
USGS,1104410,5/8/2023,15,P,895,P,,,,,,,,,,,,,,
USGS,1104410,5/9/2023,12.4,P,934,P,,,,,,,,,,,,,,
USGS,1104410,5/10/2023,12.7,P,949,P,,,,,,,,,,,,,,
USGS,1104410,5/11/2023,14.2,P,960,P,,,,,,,,,,,,,,
USGS,1104410,5/12/2023,15.3,P,975,P,,,,,,,,,,,,,,
USGS,1104410,5/13/2023,15.8,P,993,P,,,,,,,,,,,,,,
USGS,1104410,5/14/2023,13.5,P,1010,P,,,,,,,,,,,,,,
USGS,1104410,5/15/2023,12.9,P,1030,P,,,,,,,,,,,,,,
USGS,1104410,5/16/2023,14.1,P,1050,P,,,,,,,,,,,,,,
USGS,1104410,5/17/2023,12.5,P,1090,P,,,,,,,,,,,,,,
USGS,1104410,5/18/2023,10.7,P,1100,P,,,,,,,,,,,,,,
USGS,1104410,5/19/2023,12.4,P,1130,P,,,,,,,,,,,,,,
USGS,1104410,5/20/2023,13.7,P,916,P,,,,,,,,,,,,,,
USGS,1104410,5/21/2023,15.4,P,758,P,,,,,,,,,,,,,,
USGS,1104410,5/22/2023,13.9,P,897,P,,,,,,,,,,,,,,
USGS,1104410,5/23/2023,12.8,P,931,P,,,,,,,,,,,,,,
USGS,1104410,5/24/2023,13.2,P,956,P,,,,,,,,,,,,,,
USGS,1104410,5/25/2023,13,P,1020,P,,,,,,,,,,,,,,
USGS,1104410,5/26/2023,12.6,P,1030,P,,,,,,,,,,,,,,
USGS,1104410,5/27/2023,13.7,P,1050,P,,,,,,,,,,,,,,
USGS,1104410,5/28/2023,15.6,P,1070,P,,,,,,,,,,,,,,
USGS,1104410,5/29/2023,14.9,P,1100,P,,,,,,,,,,,,,,
USGS,1104410,5/30/2023,13.3,P,1130,P,,,,,,,,,,,,,,
USGS,1104410,5/31/2023,14.4,P,1140,P,,,,,,,,,,,,,,
USGS,1104410,6/1/2023,16.3,P,1150,P,,,,,,,,,,,,,,
USGS,1104410,6/2/2023,17.9,P,1060,P,,,,,,,,,,,,,,
USGS,1104410,6/3/2023,13.7,P,1120,P,,,,,,,,,,,,,,
USGS,1104410,6/4/2023,11.7,P,1080,P,,,,,,,,,,,,,,
USGS,1104410,6/5/2023,12.4,P,1050,P,,,,,,,,,,,,,,
USGS,1104410,6/6/2023,13.6,P,1150,P,,,,,,,,,,,,,,
USGS,1104410,6/7/2023,13.4,P,1160,P,,,,,,,,,,,,,,
USGS,1104410,6/8/2023,13,P,1190,P,,,,,,,,,,,,,,
USGS,1104410,6/9/2023,13.4,P,1050,P,,,,,,,,,,,,,,
USGS,1104410,6/10/2023,13.1,P,1130,P,,,,,,,,,,,,,,
USGS,1104410,6/11/2023,14.4,P,1170,P,,,,,,,,,,,,,,
USGS,1104410,6/12/2023,16.2,P,1150,P,,,,,,,,,,,,,,
USGS,1104410,6/13/2023,16.4,P,1170,P,,,,,,,,,,,,,,
USGS,1104410,6/14/2023,16.5,P,1120,P,,,,,,,,,,,,,,
USGS,1104410,6/15/2023,16.2,P,1250,P,,,,,,,,,,,,,,
USGS,1104410,6/16/2023,16.6,P,1230,P,,,,,,,,,,,,,,
USGS,1104410,6/17/2023,16.1,P,936,P,,,,,,,,,,,,,,
USGS,1104410,6/18/2023,15.4,P,1020,P,,,,,,,,,,,,,,
USGS,1104410,6/19/2023,15,P,1040,P,,,,,,,,,,,,,,
USGS,1104410,6/20/2023,14.7,P,1050,P,,,,,,,,,,,,,,
USGS,1104410,6/21/2023,14.9,P,1090,P,,,,,,,,,,,,,,
USGS,1104410,6/22/2023,15.1,P,1130,P,,,,,,,,,,,,,,
USGS,1104410,6/23/2023,15.8,P,1170,P,,,,,,,,,,,,,,
USGS,1104410,6/24/2023,17.2,P,842,P,,,,,,,,,,,,,,
USGS,1104410,6/25/2023,18.5,P,927,P,,,,,,,,,,,,,,
USGS,1104410,6/26/2023,18.3,P,924,P,,,,,,,,,,,,,,
USGS,1104410,6/27/2023,18.6,P,1040,P,,,,,,,,,,,,,,
USGS,1104410,6/28/2023,18.9,P,554,P,,,,,,,,,,,,,,
USGS,1104410,6/29/2023,18.9,P,592,P,,,,,,,,,,,,,,
USGS,1104410,6/30/2023,18.6,P,541,P,,,,,,,,,,,,,,
USGS,1104410,7/1/2023,18.5,P,883,P,,,,,,,,,,,,,,
USGS,1104410,7/2/2023,18.3,P,915,P,,,,,,,,,,,,,,
USGS,1104410,7/3/2023,18.4,P,862,P,,,,,,,,,,,,,,
USGS,1104410,7/4/2023,18.6,P,856,P,,,,,,,,,,,,,,
USGS,1104410,7/5/2023,19.2,P,1020,P,,,,,,,,,,,,,,
USGS,1104410,7/6/2023,20.1,P,967,P,,,,,,,,,,,,,,
USGS,1104410,7/7/2023,20.5,P,1040,P,,,,,,,,,,,,,,
USGS,1104410,7/8/2023,20.2,P,1090,P,,,,,,,,,,,,,,
USGS,1104410,7/9/2023,19.8,P,1100,P,,,,,,,,,,,,,,
USGS,1104410,7/10/2023,19.6,P,638,P,,,,,,,,,,,,,,
USGS,1104410,7/11/2023,19.5,P,773,P,,,,,,,,,,,,,,
USGS,1104410,7/12/2023,19.9,P,723,P,,,,,,,,,,,,,,
USGS,1104410,7/13/2023,20.2,P,856,P,,,,,,,,,,,,,,
USGS,1104410,7/14/2023,19.7,P,841,P,,,,,,,,,,,,,,
USGS,1104410,7/15/2023,20.4,P,1070,P,,,,,,,,,,,,,,
USGS,1104410,7/16/2023,21.3,P,869,P,,,,,,,,,,,,,,
USGS,1104410,7/17/2023,21.1,P,912,P,,,,,,,,,,,,,,
USGS,1104410,7/18/2023,20.8,P,705,P,,,,,,,,,,,,,,
USGS,1104410,7/19/2023,20.1,P,651,P,,,,,,,,,,,,,,
USGS,1104410,7/20/2023,19.5,P,703,P,,,,,,,,,,,,,,
USGS,1104410,7/21/2023,19,P,604,P,,,,,,,,,,,,,,
USGS,1104410,7/22/2023,18.9,P,704,P,,,,,,,,,,,,,,
USGS,1104410,7/23/2023,18.9,P,851,P,,,,,,,,,,,,,,
USGS,1104410,7/24/2023,19.2,P,863,P,,,,,,,,,,,,,,
USGS,1104410,7/25/2023,19.5,P,958,P,,,,,,,,,,,,,,
USGS,1104410,7/26/2023,19.6,P,686,P,,,,,,,,,,,,,,
USGS,1104410,7/27/2023,20.5,P,955,P,,,,,,,,,,,,,,
USGS,1104410,7/28/2023,21.1,P,1000,P,,,,,,,,,,,,,,
