title,datetime,address
Birthday Block Party,10/21/23,USS Constitution Museum
Boston Book Festival,10/21/23,Copley Square
Boston Irish Beerfest,10/21/23,The Irish Cultural Centre
CIDERFEST 2023,10/21/23,Time Out Market Boston
Roslindale Open Studios 2023,10/21/23,"Emerald Society, Roslindale"
View Boston Grand Opening,10/21/23,View Boston
Blue Man Group,10/21/23 - 03/31/24,Charles Playhouse
The Addams Family,10/21/23,Wheelock Family Theatre
Andris Nelsons & Paul Lewis at the Boston Symphony Orchestra,10/21/23,Symphony Hall
Carlos Vives: El Tour De Los 30,10/21/23,Wang Theatre
Coreyfest 2023 featuring Tyler Hubbard,10/21/23,Citizens House of Blues
"ENRIQUE IGLESIAS, RICKY MARTIN & PITBULL",10/21/23,TD Garden
DJs at The Grand,10/21/23,"Recurring weekly on Thursday, Friday, Saturday at The Grand"
Drag Brunch at Summer Shack,10/21/23,"Recurring weekly on Sunday, Saturday at Back Bay"
Fat Ham at The Huntington Calderwood Theatre,10/21/23 - 10/22/23,Recurring daily at The Huntington Theatre
IAN BAGG,10/21/23 - 10/21/23,Recurring daily at Laugh Boston
Improv Asylum Main Stage Show,10/21/23,"Recurring weekly on Sunday, Friday, Saturday at Improv Asylum"
INDEPENDENT FILM FESTIVAL BOSTON: FALL FOCUS 2023,10/21/23,The Brattle Theatre
LATE NIGHT LOUNGE,10/21/23,"Recurring weekly on Friday, Saturday at Rochambeau"
MR. SWINDLE�S TRAVELING PECULIARIUM AND DRINK-ORY GARDEN,10/21/23 - 11/05/23,"Recurring weekly on Sunday, Wednesday, Thursday, Friday, Saturday at Harpoon Brewery"
The Book of Life: HOPE & HARMONY FROM RWANDAN VOICES,10/21/23 - 10/22/23,Recurring daily at Emerson Cutler Majestic Theatre
The Ghosts of Boston - All Ages Tour,10/21/23,"Recurring daily at King's Chapel Burying Ground, Boston"
The Ghosts of our (Founding) Fathers Haunted Pub Crawl,10/21/23,Recurring daily at The Samuel Adams Statue (just outside the Samuel Adams Taproom)
View Boston After Dark,10/21/23,"Recurring weekly on Thursday, Friday, Saturday at View Boston"
Polly Sumner Doll: Conventional & Controversial Cargo Exhibit,10/21/23 - 12/31/23,Recurring daily at Old South Meeting House
Musik on the Harpsichord & Hammered Dulcimer,10/21/23,Paul Revere House - Hichborn House
The Salem Witch Trials Walk,10/21/23,"Recurring weekly on Sunday, Monday, Thursday, Friday, Saturday at Peabody Essex Museum"
