agency_cd,site_no,datetime,64624_00010_00001,64624_00010_00001_cd,64625_00010_00002,64625_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,,,,,,,,,,,,
5s,15s,20d,14n,10s,14n,10s,14n,10s,,,,,,,,,,,,
USGS,1170100,4/4/2023,7.1,P,3.6,P,5.1,P,,,,,,,,,,,,
USGS,1170100,4/5/2023,4.9,P,3.8,P,4.3,P,,,,,,,,,,,,
USGS,1170100,4/6/2023,6.8,P,3.5,P,4.9,P,,,,,,,,,,,,
USGS,1170100,4/7/2023,4.5,P,3.2,P,3.9,P,,,,,,,,,,,,
USGS,1170100,4/8/2023,6.2,P,1.7,P,3.8,P,,,,,,,,,,,,
USGS,1170100,4/9/2023,6.9,P,1.8,P,4.2,P,,,,,,,,,,,,
USGS,1170100,4/10/2023,8.2,P,2.4,P,5.2,P,,,,,,,,,,,,
USGS,1170100,4/11/2023,8.5,P,4.3,P,6.4,P,,,,,,,,,,,,
USGS,1170100,4/12/2023,10.2,P,6.3,P,8.1,P,,,,,,,,,,,,
USGS,1170100,4/13/2023,12.8,P,6.4,P,9.5,P,,,,,,,,,,,,
USGS,1170100,4/14/2023,14.3,P,8.6,P,11.3,P,,,,,,,,,,,,
USGS,1170100,4/15/2023,14.2,P,9.8,P,12.1,P,,,,,,,,,,,,
USGS,1170100,4/16/2023,12.8,P,11.5,P,12,P,,,,,,,,,,,,
USGS,1170100,4/17/2023,,,,,,,,,,,,,,,,,,
USGS,1170100,4/18/2023,10,P,8.2,P,9.2,P,,,,,,,,,,,,
USGS,1170100,4/19/2023,8.2,P,5.8,P,6.8,P,,,,,,,,,,,,
USGS,1170100,4/20/2023,10.6,P,4.7,P,7.7,P,,,,,,,,,,,,
USGS,1170100,4/21/2023,13,P,7.5,P,10.2,P,,,,,,,,,,,,
USGS,1170100,4/22/2023,11,P,9,P,9.5,P,,,,,,,,,,,,
USGS,1170100,4/23/2023,9,P,7.5,P,8.1,P,,,,,,,,,,,,
USGS,1170100,4/24/2023,8.8,P,7.2,P,7.9,P,,,,,,,,,,,,
