agency_cd,site_no,datetime,Mean Water Temp (C),Mean Water Temp (C)_cd,,,,,,,,,,,,,,,,
5s,15s,20d,14n,10s,,,,,,,,,,,,,,,,
USGS,1173000,4/4/2023,8.9,P,,,,,,,,,,,,,,,,
USGS,1173000,4/5/2023,9.7,P,,,,,,,,,,,,,,,,
USGS,1173000,4/6/2023,9,P,,,,,,,,,,,,,,,,
USGS,1173000,4/7/2023,10.1,P,,,,,,,,,,,,,,,,
USGS,1173000,4/8/2023,8.6,P,,,,,,,,,,,,,,,,
USGS,1173000,4/9/2023,8.3,P,,,,,,,,,,,,,,,,
USGS,1173000,4/10/2023,8.8,P,,,,,,,,,,,,,,,,
USGS,1173000,4/11/2023,9.9,P,,,,,,,,,,,,,,,,
USGS,1173000,4/12/2023,12,P,,,,,,,,,,,,,,,,
USGS,1173000,4/13/2023,13.8,P,,,,,,,,,,,,,,,,
USGS,1173000,4/14/2023,16,P,,,,,,,,,,,,,,,,
USGS,1173000,4/15/2023,17.2,P,,,,,,,,,,,,,,,,
USGS,1173000,4/16/2023,17.1,P,,,,,,,,,,,,,,,,
USGS,1173000,4/17/2023,15.8,P,,,,,,,,,,,,,,,,
USGS,1173000,4/18/2023,13.3,P,,,,,,,,,,,,,,,,
USGS,1173000,4/19/2023,11,P,,,,,,,,,,,,,,,,
USGS,1173000,4/20/2023,9.9,P,,,,,,,,,,,,,,,,
USGS,1173000,4/21/2023,12.2,P,,,,,,,,,,,,,,,,
USGS,1173000,4/22/2023,13.1,P,,,,,,,,,,,,,,,,
USGS,1173000,4/23/2023,11,P,,,,,,,,,,,,,,,,
USGS,1173000,4/24/2023,10.6,P,,,,,,,,,,,,,,,,
USGS,1173000,4/25/2023,12,P,,,,,,,,,,,,,,,,
USGS,1173000,4/26/2023,12.1,P,,,,,,,,,,,,,,,,
USGS,1173000,4/27/2023,12,P,,,,,,,,,,,,,,,,
USGS,1173000,4/28/2023,12,P,,,,,,,,,,,,,,,,
USGS,1173000,4/29/2023,12.3,P,,,,,,,,,,,,,,,,
USGS,1173000,4/30/2023,11.2,P,,,,,,,,,,,,,,,,
USGS,1173000,5/1/2023,11.7,P,,,,,,,,,,,,,,,,
USGS,1173000,5/2/2023,11.8,P,,,,,,,,,,,,,,,,
USGS,1173000,5/3/2023,11.3,P,,,,,,,,,,,,,,,,
USGS,1173000,5/4/2023,11.1,P,,,,,,,,,,,,,,,,
USGS,1173000,5/5/2023,11.4,P,,,,,,,,,,,,,,,,
USGS,1173000,5/6/2023,12.5,P,,,,,,,,,,,,,,,,
USGS,1173000,5/7/2023,14.1,P,,,,,,,,,,,,,,,,
USGS,1173000,5/8/2023,16.2,P,,,,,,,,,,,,,,,,
USGS,1173000,5/9/2023,16.2,P,,,,,,,,,,,,,,,,
USGS,1173000,5/10/2023,15.5,P,,,,,,,,,,,,,,,,
USGS,1173000,5/11/2023,15.8,P,,,,,,,,,,,,,,,,
USGS,1173000,5/12/2023,16.8,P,,,,,,,,,,,,,,,,
USGS,1173000,5/13/2023,18.2,P,,,,,,,,,,,,,,,,
USGS,1173000,5/14/2023,17.9,P,,,,,,,,,,,,,,,,
USGS,1173000,5/15/2023,16.2,P,,,,,,,,,,,,,,,,
USGS,1173000,5/16/2023,15.8,P,,,,,,,,,,,,,,,,
USGS,1173000,5/17/2023,16.1,P,,,,,,,,,,,,,,,,
USGS,1173000,5/18/2023,14.7,P,,,,,,,,,,,,,,,,
USGS,1173000,5/19/2023,14.6,P,,,,,,,,,,,,,,,,
USGS,1173000,5/20/2023,14.9,P,,,,,,,,,,,,,,,,
USGS,1173000,5/21/2023,15.7,P,,,,,,,,,,,,,,,,
USGS,1173000,5/22/2023,17.1,P,,,,,,,,,,,,,,,,
USGS,1173000,5/23/2023,17.6,P,,,,,,,,,,,,,,,,
USGS,1173000,5/24/2023,17.8,P,,,,,,,,,,,,,,,,
USGS,1173000,5/25/2023,17.4,P,,,,,,,,,,,,,,,,
USGS,1173000,5/26/2023,16.8,P,,,,,,,,,,,,,,,,
USGS,1173000,5/27/2023,17,P,,,,,,,,,,,,,,,,
USGS,1173000,5/28/2023,18.5,P,,,,,,,,,,,,,,,,
USGS,1173000,5/29/2023,19.9,P,,,,,,,,,,,,,,,,
USGS,1173000,5/30/2023,19.1,P,,,,,,,,,,,,,,,,
USGS,1173000,5/31/2023,18.9,P,,,,,,,,,,,,,,,,
USGS,1173000,6/1/2023,19.7,P,,,,,,,,,,,,,,,,
USGS,1173000,6/2/2023,21.3,P,,,,,,,,,,,,,,,,
USGS,1173000,6/3/2023,19.9,P,,,,,,,,,,,,,,,,
USGS,1173000,6/4/2023,16.6,P,,,,,,,,,,,,,,,,
USGS,1173000,6/5/2023,15.1,P,,,,,,,,,,,,,,,,
USGS,1173000,6/6/2023,15.1,P,,,,,,,,,,,,,,,,
USGS,1173000,6/7/2023,15.7,P,,,,,,,,,,,,,,,,
USGS,1173000,6/8/2023,15.3,P,,,,,,,,,,,,,,,,
USGS,1173000,6/9/2023,15.2,P,,,,,,,,,,,,,,,,
USGS,1173000,6/10/2023,16.1,P,,,,,,,,,,,,,,,,
USGS,1173000,6/11/2023,16.9,P,,,,,,,,,,,,,,,,
USGS,1173000,6/12/2023,18.8,P,,,,,,,,,,,,,,,,
USGS,1173000,6/13/2023,20.2,P,,,,,,,,,,,,,,,,
USGS,1173000,6/14/2023,20.9,P,,,,,,,,,,,,,,,,
USGS,1173000,6/15/2023,20.1,P,,,,,,,,,,,,,,,,
USGS,1173000,6/16/2023,20,P,,,,,,,,,,,,,,,,
USGS,1173000,6/17/2023,20.1,P,,,,,,,,,,,,,,,,
USGS,1173000,6/18/2023,18.2,P,,,,,,,,,,,,,,,,
USGS,1173000,6/19/2023,18.6,P,,,,,,,,,,,,,,,,
USGS,1173000,6/20/2023,19.1,P,,,,,,,,,,,,,,,,
USGS,1173000,6/21/2023,19.5,P,,,,,,,,,,,,,,,,
USGS,1173000,6/22/2023,19.7,P,,,,,,,,,,,,,,,,
USGS,1173000,6/23/2023,20.3,P,,,,,,,,,,,,,,,,
USGS,1173000,6/24/2023,21.2,P,,,,,,,,,,,,,,,,
USGS,1173000,6/25/2023,22.1,P,,,,,,,,,,,,,,,,
USGS,1173000,6/26/2023,23.6,P,,,,,,,,,,,,,,,,
USGS,1173000,6/27/2023,23.4,P,,,,,,,,,,,,,,,,
USGS,1173000,6/28/2023,22.4,P,,,,,,,,,,,,,,,,
USGS,1173000,6/29/2023,21.8,P,,,,,,,,,,,,,,,,
USGS,1173000,6/30/2023,22.3,P,,,,,,,,,,,,,,,,
USGS,1173000,7/1/2023,23.1,P,,,,,,,,,,,,,,,,
USGS,1173000,7/2/2023,21.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/3/2023,20.5,P,,,,,,,,,,,,,,,,
USGS,1173000,7/4/2023,21.2,P,,,,,,,,,,,,,,,,
USGS,1173000,7/5/2023,22.3,P,,,,,,,,,,,,,,,,
USGS,1173000,7/6/2023,23.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/7/2023,25.1,P,,,,,,,,,,,,,,,,
USGS,1173000,7/8/2023,25.4,P,,,,,,,,,,,,,,,,
USGS,1173000,7/9/2023,24.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/10/2023,23.7,P,,,,,,,,,,,,,,,,
USGS,1173000,7/11/2023,22.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/12/2023,23.7,P,,,,,,,,,,,,,,,,
USGS,1173000,7/13/2023,24.6,P,,,,,,,,,,,,,,,,
USGS,1173000,7/14/2023,23.5,P,,,,,,,,,,,,,,,,
USGS,1173000,7/15/2023,23.5,P,,,,,,,,,,,,,,,,
USGS,1173000,7/16/2023,23,P,,,,,,,,,,,,,,,,
USGS,1173000,7/17/2023,22.3,P,,,,,,,,,,,,,,,,
USGS,1173000,7/18/2023,23.2,P,,,,,,,,,,,,,,,,
USGS,1173000,7/19/2023,22.9,P,,,,,,,,,,,,,,,,
USGS,1173000,7/20/2023,23.1,P,,,,,,,,,,,,,,,,
USGS,1173000,7/21/2023,22.4,P,,,,,,,,,,,,,,,,
USGS,1173000,7/22/2023,19.8,P,,,,,,,,,,,,,,,,
USGS,1173000,7/23/2023,20.5,P,,,,,,,,,,,,,,,,
USGS,1173000,7/24/2023,21,P,,,,,,,,,,,,,,,,
USGS,1173000,7/25/2023,21.9,P,,,,,,,,,,,,,,,,
