agency_cd,site_no,datetime,64169_00010_00001,64169_00010_00001_cd,64170_00010_00002,64170_00010_00002_cd,Mean Water Temp (C),Mean Water Temp (C)_cd,64172_00095_00001,64172_00095_00001_cd,64173_00095_00002,64173_00095_00002_cd,64174_00095_00003,64174_00095_00003_cd,,,,,,

USGS,1104415,4/4/2023,12.7,P,7.3,P,9.5,P,1310,P,1220,P,1270,P,,,,,,
USGS,1104415,4/5/2023,9.3,P,7.2,P,8.3,P,1380,P,1240,P,1330,P,,,,,,
USGS,1104415,4/6/2023,11.7,P,7,P,9,P,1380,P,1290,P,1360,P,,,,,,
USGS,1104415,4/7/2023,11.5,P,7,P,9.2,P,1450,P,1350,P,1400,P,,,,,,
USGS,1104415,4/8/2023,10.9,P,5.4,P,7.8,P,1470,P,1420,P,1450,P,,,,,,
USGS,1104415,4/9/2023,11.1,P,4.7,P,7.7,P,1490,P,1440,P,1460,P,,,,,,
USGS,1104415,4/10/2023,12.5,P,5.6,P,8.9,P,1510,P,1420,P,1470,P,,,,,,
USGS,1104415,4/11/2023,13.9,P,7.1,P,10.3,P,1530,P,1420,P,1490,P,,,,,,
USGS,1104415,4/12/2023,14.2,P,9.8,P,11.7,P,1550,P,1440,P,1520,P,,,,,,
USGS,1104415,4/13/2023,17,P,9.4,P,13.1,P,1580,P,1490,P,1550,P,,,,,,
USGS,1104415,4/14/2023,18.2,P,11.6,P,14.2,P,1620,P,1500,P,1580,P,,,,,,
USGS,1104415,4/15/2023,15.8,P,10.8,P,13,P,1610,P,1570,P,1590,P,,,,,,
USGS,1104415,4/16/2023,13.4,P,11.3,P,12.2,P,1610,P,1570,P,1590,P,,,,,,
USGS,1104415,4/17/2023,11.7,P,10.8,P,11.2,P,2070,P,1100,P,1570,P,,,,,,
USGS,1104415,4/18/2023,12,P,9.6,P,10.7,P,1540,P,1330,P,1440,P,,,,,,
USGS,1104415,4/19/2023,10.8,P,8.1,P,9.5,P,1630,P,1520,P,1590,P,,,,,,
USGS,1104415,4/20/2023,13.9,P,7.6,P,10.4,P,1680,P,1620,P,1650,P,,,,,,
USGS,1104415,4/21/2023,14,P,8.7,P,10.8,P,1710,P,1440,P,1660,P,,,,,,
USGS,1104415,4/22/2023,11,P,9.3,P,10,P,1710,P,734,P,1660,P,,,,,,
USGS,1104415,4/23/2023,10.1,P,9.1,P,9.7,P,2410,P,346,P,590,P,,,,,,
USGS,1104415,4/24/2023,13.2,P,9.4,P,10.8,P,1030,P,599,P,863,P,,,,,,
USGS,1104415,4/25/2023,13.5,P,9.4,P,11,P,1420,P,696,P,1070,P,,,,,,
USGS,1104415,4/26/2023,14,P,9.7,P,11.2,P,1160,P,452,P,1070,P,,,,,,
USGS,1104415,4/27/2023,13,P,9.5,P,10.9,P,1720,P,876,P,1190,P,,,,,,
USGS,1104415,4/28/2023,14.7,P,8.4,P,11.3,P,1220,P,756,P,1150,P,,,,,,
USGS,1104415,4/29/2023,11.5,P,9.9,P,10.6,P,1310,P,657,P,1240,P,,,,,,
USGS,1104415,4/30/2023,11.5,P,9.9,P,10.5,P,990,P,194,P,488,P,,,,,,
USGS,1104415,5/1/2023,14.2,P,10.3,P,12,P,756,P,167,P,526,P,,,,,,
USGS,1104415,5/2/2023,12,P,9.5,P,10.8,P,883,P,415,P,675,P,,,,,,
USGS,1104415,5/3/2023,11.4,P,9.3,P,10.5,P,834,P,433,P,683,P,,,,,,
USGS,1104415,5/4/2023,10.7,P,9.4,P,10,P,843,P,568,P,711,P,,,,,,
USGS,1104415,5/5/2023,12.9,P,9.6,P,10.7,P,1010,P,756,P,891,P,,,,,,
USGS,1104415,5/6/2023,15.7,P,8.9,P,12.1,P,998,P,654,P,951,P,,,,,,
USGS,1104415,5/7/2023,16.4,P,10,P,13.1,P,1030,P,976,P,1000,P,,,,,,
USGS,1104415,5/8/2023,16.6,P,11.4,P,13.6,P,1110,P,1030,P,1060,P,,,,,,
USGS,1104415,5/9/2023,14.7,P,9.6,P,11.8,P,1160,P,1080,P,1110,P,,,,,,
USGS,1104415,5/10/2023,15.4,P,8.9,P,12.1,P,1210,P,1060,P,1140,P,,,,,,
USGS,1104415,5/11/2023,16.4,P,10.5,P,13.3,P,1250,P,689,P,1210,P,,,,,,
USGS,1104415,5/12/2023,17.5,P,11.5,P,14.3,P,1310,P,1230,P,1270,P,,,,,,
USGS,1104415,5/13/2023,17.4,P,12.7,P,14.7,P,1370,P,1260,P,1330,P,,,,,,
USGS,1104415,5/14/2023,14.8,P,11.3,P,12.9,P,1440,P,1330,P,1390,P,,,,,,
USGS,1104415,5/15/2023,14.8,P,9.9,P,12.4,P,1450,P,1380,P,1420,P,,,,,,
USGS,1104415,5/16/2023,15.6,P,11.8,P,13.4,P,1520,P,1420,P,1480,P,,,,,,
USGS,1104415,5/17/2023,13.9,P,9.5,P,12.2,P,1580,P,1480,P,1540,P,,,,,,
USGS,1104415,5/18/2023,13.4,P,8.3,P,10.9,P,1620,P,1410,P,1570,P,,,,,,
USGS,1104415,5/19/2023,14.7,P,9.9,P,12.3,P,1640,P,1490,P,1590,P,,,,,,
USGS,1104415,5/20/2023,17.1,P,11.5,P,14.3,P,1630,P,74,P,1030,P,,,,,,
USGS,1104415,5/21/2023,17,P,13.9,P,15.7,P,280,P,74,P,195,P,,,,,,
