agency_cd,site_no,datetime,Mean Specific Conductance ,Mean Specific Conductance _cd,Mean Water Temp (C),Mean Water Temp (C)_cd,,,,,,,,,,,,,,
5s,15s,20d,14n,10s,14n,10s,,,,,,,,,,,,,,
USGS,1104420,4/4/2023,1350,P,10.7,P,,,,,,,,,,,,,,
USGS,1104420,4/5/2023,1390,P,9.5,P,,,,,,,,,,,,,,
USGS,1104420,4/6/2023,1400,P,9.8,P,,,,,,,,,,,,,,
USGS,1104420,4/7/2023,1440,P,10.2,P,,,,,,,,,,,,,,
USGS,1104420,4/8/2023,1460,P,8.8,P,,,,,,,,,,,,,,
USGS,1104420,4/9/2023,1480,P,9,P,,,,,,,,,,,,,,
USGS,1104420,4/10/2023,1500,P,10.2,P,,,,,,,,,,,,,,
USGS,1104420,4/11/2023,1520,P,11.6,P,,,,,,,,,,,,,,
USGS,1104420,4/12/2023,1540,P,13.2,P,,,,,,,,,,,,,,
USGS,1104420,4/13/2023,1650,P,13.5,P,,,,,,,,,,,,,,
USGS,1104420,4/14/2023,1690,P,14.5,P,,,,,,,,,,,,,,
USGS,1104420,4/15/2023,1670,P,14.2,P,,,,,,,,,,,,,,
USGS,1104420,4/16/2023,1610,P,13.8,P,,,,,,,,,,,,,,
USGS,1104420,4/17/2023,1540,P,12.9,P,,,,,,,,,,,,,,
USGS,1104420,4/18/2023,1550,P,12.2,P,,,,,,,,,,,,,,
USGS,1104420,4/19/2023,1560,P,10.5,P,,,,,,,,,,,,,,
USGS,1104420,4/20/2023,1610,P,11,P,,,,,,,,,,,,,,
USGS,1104420,4/21/2023,1620,P,12.2,P,,,,,,,,,,,,,,
USGS,1104420,4/22/2023,1550,P,11.5,P,,,,,,,,,,,,,,
USGS,1104420,4/23/2023,846,P,10,P,,,,,,,,,,,,,,
USGS,1104420,4/24/2023,812,P,11.7,P,,,,,,,,,,,,,,
USGS,1104420,4/25/2023,923,P,12.9,P,,,,,,,,,,,,,,
USGS,1104420,4/26/2023,1030,P,13.6,P,,,,,,,,,,,,,,
USGS,1104420,4/27/2023,1070,P,12.7,P,,,,,,,,,,,,,,
USGS,1104420,4/28/2023,1130,P,13.2,P,,,,,,,,,,,,,,
USGS,1104420,4/29/2023,1180,P,12.2,P,,,,,,,,,,,,,,
USGS,1104420,4/30/2023,690,P,10.9,P,,,,,,,,,,,,,,
USGS,1104420,5/1/2023,548,P,13.6,P,,,,,,,,,,,,,,
USGS,1104420,5/2/2023,634,P,12.1,P,,,,,,,,,,,,,,
USGS,1104420,5/3/2023,727,P,11.3,P,,,,,,,,,,,,,,
USGS,1104420,5/4/2023,769,P,10.6,P,,,,,,,,,,,,,,
USGS,1104420,5/5/2023,870,P,11.8,P,,,,,,,,,,,,,,
USGS,1104420,5/6/2023,956,P,14.4,P,,,,,,,,,,,,,,
USGS,1104420,5/7/2023,1040,P,16.5,P,,,,,,,,,,,,,,
USGS,1104420,5/8/2023,1130,P,17.6,P,,,,,,,,,,,,,,
USGS,1104420,5/9/2023,1230,P,15.2,P,,,,,,,,,,,,,,
USGS,1104420,5/10/2023,1270,P,15.1,P,,,,,,,,,,,,,,
USGS,1104420,5/11/2023,1320,P,16.3,P,,,,,,,,,,,,,,
USGS,1104420,5/12/2023,1360,P,17.2,P,,,,,,,,,,,,,,
USGS,1104420,5/13/2023,1420,P,17.5,P,,,,,,,,,,,,,,
USGS,1104420,5/14/2023,1420,P,15.8,P,,,,,,,,,,,,,,
USGS,1104420,5/15/2023,1430,P,14.8,P,,,,,,,,,,,,,,
USGS,1104420,5/16/2023,1520,P,15,P,,,,,,,,,,,,,,
USGS,1104420,5/17/2023,1490,P,14.7,P,,,,,,,,,,,,,,
USGS,1104420,5/18/2023,1560,P,12.8,P,,,,,,,,,,,,,,
USGS,1104420,5/19/2023,1580,P,13.6,P,,,,,,,,,,,,,,
USGS,1104420,5/20/2023,1080,P,15.5,P,,,,,,,,,,,,,,
USGS,1104420,5/21/2023,614,P,18.5,P,,,,,,,,,,,,,,
USGS,1104420,5/22/2023,698,P,17.7,P,,,,,,,,,,,,,,
USGS,1104420,5/23/2023,843,P,16.3,P,,,,,,,,,,,,,,
USGS,1104420,5/24/2023,956,P,16,P,,,,,,,,,,,,,,
USGS,1104420,5/25/2023,1050,P,16.2,P,,,,,,,,,,,,,,
USGS,1104420,5/26/2023,1140,P,15.9,P,,,,,,,,,,,,,,
USGS,1104420,5/27/2023,1250,P,16.2,P,,,,,,,,,,,,,,
USGS,1104420,5/28/2023,1490,P,16.4,P,,,,,,,,,,,,,,
USGS,1104420,5/29/2023,1530,P,16.4,P,,,,,,,,,,,,,,
USGS,1104420,5/30/2023,1530,P,15.1,P,,,,,,,,,,,,,,
USGS,1104420,5/31/2023,1640,P,15.1,P,,,,,,,,,,,,,,
USGS,1104420,6/1/2023,1800,P,15.6,P,,,,,,,,,,,,,,
USGS,1104420,6/2/2023,1560,P,16.7,P,,,,,,,,,,,,,,
USGS,1104420,6/3/2023,1140,P,16.2,P,,,,,,,,,,,,,,
USGS,1104420,6/4/2023,1260,P,13.7,P,,,,,,,,,,,,,,
USGS,1104420,6/5/2023,1160,P,14.3,P,,,,,,,,,,,,,,
USGS,1104420,6/6/2023,1160,P,16,P,,,,,,,,,,,,,,
USGS,1104420,6/7/2023,1220,P,15.8,P,,,,,,,,,,,,,,
USGS,1104420,6/8/2023,1250,P,15.4,P,,,,,,,,,,,,,,
USGS,1104420,6/9/2023,1240,P,15.3,P,,,,,,,,,,,,,,
USGS,1104420,6/10/2023,1200,P,15.6,P,,,,,,,,,,,,,,
USGS,1104420,6/11/2023,1250,P,16.7,P,,,,,,,,,,,,,,
USGS,1104420,6/12/2023,1510,P,17.2,P,,,,,,,,,,,,,,
USGS,1104420,6/13/2023,1180,P,19.1,P,,,,,,,,,,,,,,
USGS,1104420,6/14/2023,1260,P,18.4,P,,,,,,,,,,,,,,
USGS,1104420,6/15/2023,1160,P,19.4,P,,,,,,,,,,,,,,
USGS,1104420,6/16/2023,1310,P,19.3,P,,,,,,,,,,,,,,
USGS,1104420,6/17/2023,1070,P,18.2,P,,,,,,,,,,,,,,
USGS,1104420,6/18/2023,917,P,17.9,P,,,,,,,,,,,,,,
USGS,1104420,6/19/2023,910,P,17.9,P,,,,,,,,,,,,,,
USGS,1104420,6/20/2023,967,P,17.5,P,,,,,,,,,,,,,,
USGS,1104420,6/21/2023,1040,P,17.8,P,,,,,,,,,,,,,,
USGS,1104420,6/22/2023,1310,P,17.2,P,,,,,,,,,,,,,,
USGS,1104420,6/23/2023,1550,P,16.8,P,,,,,,,,,,,,,,
USGS,1104420,6/24/2023,1610,P,17.4,P,,,,,,,,,,,,,,
USGS,1104420,6/25/2023,1850,P,16.9,P,,,,,,,,,,,,,,
USGS,1104420,6/26/2023,1970,P,16.3,P,,,,,,,,,,,,,,
USGS,1104420,6/27/2023,1510,P,17.7,P,,,,,,,,,,,,,,
USGS,1104420,6/28/2023,1170,P,19.8,P,,,,,,,,,,,,,,
USGS,1104420,6/29/2023,1100,P,21.1,P,,,,,,,,,,,,,,
